,name,car
0,中国,22635
1,北京市,497.4
2,天津市,258.81
3,上海市,339.90
4,重庆市,403.20
5,河北省,1536.8
6,石家庄市,258.9
7,唐山市,198.6
8,秦皇岛市,66.02
9,邯郸市,167.0
10,邢台市,128.8
11,保定市,231
12,太原市,149.04
13,大同市,65.3
14,阳泉市,22.6
15,晋城市,43.1
16,晋中市,61.1
17,运城市,83.3
18,忻州市,35.9
19,临汾市,66.7
20,吕梁市,40.7
21,乌海市,21.24
22,辽宁省,753.4
23,丹东市,30.7
24,锦州市,39.3
25,营口市,38.7
26,朝阳市,38.8
27,吉林省,409.26
28,长春市,164.4
29,吉林市,56.4
30,延边州,29.42
31,黑龙江,464.3
32,大兴安岭地区,4.6
33,江苏省,1646.2
34,南京市,149.16
35,无锡市,172.25
36,徐州市,139.51
37,镇江市,54.7
38,杭州市,216.2
39,温州市,204.1
40,嘉兴市,127.2
41,湖州市,80.4
42,衢州市,42.35
43,芜湖市,54.12
44,淮北市,28.2
45,黄山市,19.27
46,滁州市,41.34
47,宿州市,66.75
48,亳州市,55.6
49,宣城市,40.1
50,福建省,591.4
51,福州市,119.03
52,莆田市,34.77
53,三明市,27.60
54,泉州市,142.56
55,漳州市,58.10
56,龙岩市,103
57,宁德市,24.65
58,赣州市,100.31
59,吉安市,46.66
60,青岛市,253
61,淄博市,103.4
62,烟台市,178.22
63,济宁市,136.96
64,漯河市,33
65,信阳市,90.70
66,宜昌市,65.24
67,咸宁市,24.56
68,湖南省,812.7
69,湘潭市,36.2
70,张家界市,15.8
71,益阳市,43.84
72,郴州市,47.3
73,永州市,45.69
74,娄底市,39.15
75,湘西州,17.5
76,韶关市,39.62
77,深圳市,273
78,佛山市,248.08
79,湛江市,63.61
80,茂名市,68.36
81,肇庆市,55.78
82,梅州市,54.10
83,汕尾市,25.49
84,河源市,38.26
85,中山市,111.13
86,揭阳市,56.70
87,云浮市,32.91
88,广西壮族自治区,615.13
89,梧州市,25.6
90,贵港市,40.53
91,玉林市,63.5
92,贺州市,21.27
93,来宾市,21.97
94,海南省,118.15
95,海口市,71.59
96,成都市,424.4
97,泸州市,76.10
98,广元市,25.64
99,遂宁市,24.42
100,巴中市,24.24
101,贵阳市,119.70
102,毕节市,54.82
103,云南省,682.88
104,大理州,46.8
105,西安市,308.26
106,甘肃省,311.4
107,白银市,35.6
108,天水市,60.32
109,平凉市,21.37
110,青海省,99.98
111,宁夏回族自治区,143.81
112,银川市,84.73
113,吴忠市,18.8
114,中卫市,12.99
115,新疆维吾尔自治区,363.61
116,克拉玛依市,12.2
117,哈密市,14.97
118,喀什地区,52.74
