,name,area,Unnamed: 0_x,GDP,Unnamed: 0_y,car,B,G,Z,D
0,成都,CS,227.0,（GDP）17012.65,96.0,424.4,（GDP）17012.65,17012.65,,
1,昆明,CS,257.0,⑵6475.88,,,⑵6475.88,6475.88,,
2,武汉,CS,163.0,（GDP）16223.21,,,（GDP）16223.21,16223.21,,
3,重庆,CS,4.0,23605.77,4.0,403.2,23605.77,23605.77,,
4,长沙,CS,177.0,11574.22,,,11574.22,11574.22,,
5,南昌,CS,,,,,,,,
6,厦门,CS,109.0,（GDP）5995.04,,,（GDP）5995.04,5995.04,,
7,台州,CS,89.0,〔1〕5134.05,,,〔1〕5134.05,1,,
8,泉州,CS,112.0,（GDP）[2]9946.66,54.0,142.56,（GDP）9946.66,9946.66,,
9,温州,CS,82.0,（GDP）6606.1,39.0,204.1,（GDP）6606.1,6606.1,,
10,福州,CS,108.0,9392.30,51.0,119.03,9392.30,9392.30,,
11,贵阳,CS,249.0,4039.60,101.0,119.7,4039.60,4039.60,,
12,三明,CS,111.0,2601.56,53.0,27.6,2601.56,2601.56,,
13,上饶,CS,127.0,2513.1,,,2513.1,2513.1,,
14,丽水,CS,90.0,（GDP）1476.61,,,（GDP）1476.61,1476.61,,
15,九江,CS,120.0,（GDP）3121.05,,,（GDP）3121.05,3121.05,,
16,南平,CS,114.0,1991.57,,,1991.57,1991.57,,
17,株洲,CS,178.0,3003.13,,,3003.13,3003.13,,
18,湖州,CS,84.0,（GDP）3122.4,41.0,80.4,（GDP）3122.4,3122.4,,
19,湘潭,CS,179.0,[2]2257.6,69.0,36.2,2257.6,2257.6,,
20,绵阳,CS,232.0,2856.20,,,2856.20,2856.20,,
21,衡阳,CS,180.0,3372.68,,,3372.68,3372.68,,
22,襄阳,CS,167.0,4812.8,,,4812.8,4812.8,,
23,赣州,CS,123.0,（GDP）3474.34,58.0,100.31,（GDP）3474.34,3474.34,,
24,遵义,CS,251.0,[4]3483.32,,,3483.32,3483.32,,
25,郴州,CS,186.0,（GDP）2410.9,72.0,47.3,（GDP）2410.9,2410.9,,
26,丽江,CS,,,,,,,,
27,义乌,CS,,,,,,,,
28,乐山,CS,236.0,（GDP）1863.31,,,（GDP）1863.31,1863.31,,
29,六盘水,CS,250.0,1265.97,,,1265.97,1265.97,,
30,南充,CS,237.0,（GDP）2322.22,,,（GDP）2322.22,2322.22,,
31,吉安,CS,124.0,2085.41,59.0,46.66,2085.41,2085.41,,
