date,每天总成交额,每天总成交平均总价,每天成交每平米平均价
2020-01-01,11661,126.75,14702.782608695652
2020-01-02,12049,120.49,13931.81
2020-01-03,18864,136.69565217391303,14702.130434782608
2020-01-04,23503,131.30167597765364,14545.05027932961
2020-01-05,30192,133.00440528634363,15100.607929515418
2020-01-06,2157,102.71428571428571,11825.904761904761
2020-01-07,2049,113.83333333333333,13252.555555555555
2020-01-08,28385,145.56410256410257,15492.784615384615
2020-01-09,21273,140.88079470198676,15274.986754966887
2020-01-10,21381,138.83766233766235,15135.92857142857
2020-01-11,23389,131.3988764044944,15299.691011235955
2020-01-12,27086,133.42857142857142,15568.852216748768
2020-01-13,30203,136.66515837104072,15301.131221719457
2020-01-14,29816,139.981220657277,15243.652582159624
2020-01-15,27195,139.46153846153845,15447.712820512821
2020-01-16,24003,137.94827586206895,15682.091954022988
2020-01-17,23802,139.19298245614036,15384.380116959064
2020-01-18,24848,139.59550561797752,15701.988764044943
2020-01-19,29868,140.88679245283018,15614.655660377359
2020-01-20,24584,136.57777777777778,14793.4
2020-01-21,6913,121.28070175438596,13003.754385964912
2020-01-22,3401,117.27586206896552,13864.551724137931
2020-02-11,107,107.0,15648.0
2020-02-12,496,124.0,14933.75
2020-02-13,623,124.6,13466.4
2020-02-14,363,121.0,11556.333333333334
2020-02-15,280,280.0,24562.0
2020-02-16,1115,139.375,17367.0
2020-02-17,888,148.0,15077.833333333334
2020-02-19,633,90.42857142857143,12690.57142857143
2020-02-20,1077,107.7,13519.9
2020-02-21,1543,192.875,16458.375
2020-02-22,1195,119.5,14169.8
2020-02-23,1463,86.05882352941177,12557.058823529413
2020-02-24,1594,106.26666666666667,11873.666666666666
2020-02-25,3906,134.68965517241378,15458.965517241379
2020-02-26,3929,103.39473684210526,12870.21052631579
2020-02-27,3903,118.27272727272727,14250.30303030303
2020-02-28,4889,116.4047619047619,13237.452380952382
2020-02-29,5670,118.125,13641.229166666666
2020-03-01,7002,114.78688524590164,12638.672131147541
2020-03-02,5716,109.92307692307692,13495.538461538461
2020-03-03,8891,123.48611111111111,13849.194444444445
2020-03-04,8410,115.20547945205479,14140.219178082192
2020-03-05,8508,114.97297297297297,13620.824324324325
2020-03-06,12257,122.57,13718.42
2020-03-07,12165,125.41237113402062,14210.80412371134
2020-03-08,17184,121.87234042553192,14055.312056737588
2020-03-09,15621,125.9758064516129,14679.258064516129
2020-03-10,19723,116.01764705882353,14266.74705882353
2020-03-11,18775,113.78787878787878,14112.933333333332
2020-03-12,19924,117.2,13890.20588235294
2020-03-13,17027,114.2751677852349,13468.24832214765
2020-03-14,18932,106.35955056179775,13261.08988764045
2020-03-15,33080,122.06642066420665,13878.69372693727
2020-03-16,22947,124.03783783783784,14028.940540540541
2020-03-17,27432,123.01345291479821,14630.83856502242
2020-03-18,27616,124.3963963963964,14605.207207207208
2020-03-19,26596,116.13973799126637,14088.947598253275
2020-03-20,25547,121.65238095238095,13818.4
2020-03-21,29468,126.47210300429184,14372.772532188841
2020-03-22,39157,120.48307692307692,14216.212307692307
2020-03-23,25433,118.84579439252336,14342.308411214954
2020-03-24,26615,125.54245283018868,14410.146226415094
2020-03-25,29639,123.49583333333334,14270.0625
2020-03-26,31578,126.312,14709.064
2020-03-27,26465,123.09302325581395,14361.66046511628
2020-03-28,38221,136.01779359430606,15113.658362989323
2020-03-29,53367,124.98126463700234,14182.943793911007
2020-03-30,34455,123.05357142857143,14108.453571428572
2020-03-31,35912,125.56643356643356,14523.695804195804
2020-04-01,18467,125.62585034013605,13801.408163265307
2020-04-02,25176,126.51256281407035,14412.236180904523
2020-04-03,27623,124.42792792792793,14356.387387387387
2020-04-04,29694,122.70247933884298,14626.611570247935
2020-04-05,38754,137.91459074733095,14853.252669039146
2020-04-06,41656,121.80116959064327,14345.365497076024
2020-04-07,33539,128.99615384615385,14590.273076923077
2020-04-08,36639,122.9496644295302,14539.771812080537
2020-04-09,27116,116.37768240343348,13617.682403433477
2020-04-10,30827,128.44583333333333,14183.8375
2020-04-11,37303,130.88771929824563,14825.052631578947
2020-04-12,51702,131.2233502538071,14819.309644670051
2020-04-13,32353,127.3740157480315,14961.393700787401
2020-04-14,34784,130.7669172932331,14467.112781954887
2020-04-15,31702,125.8015873015873,14039.107142857143
2020-04-16,32532,132.78367346938776,15060.338775510205
2020-04-17,29612,129.87719298245614,14129.100877192983
2020-04-18,31145,130.8613445378151,14429.16386554622
2020-04-19,55365,130.88652482269504,15230.652482269503
2020-04-20,38637,130.9728813559322,14773.677966101695
2020-04-21,38155,130.66780821917808,14666.239726027397
2020-04-22,34307,127.53531598513011,14340.795539033457
2020-04-23,32615,129.42460317460316,14047.079365079366
2020-04-24,34396,136.4920634920635,14503.333333333334
2020-04-25,44128,134.12765957446808,14553.188449848025
2020-04-26,49349,130.2084432717678,14604.488126649076
2020-04-27,34506,140.26829268292684,15178.447154471545
2020-04-28,35453,143.5344129554656,15456.36032388664
2020-04-29,30240,127.05882352941177,14066.672268907563
2020-04-30,32512,129.015873015873,14865.797619047618
2020-05-01,22103,128.50581395348837,13998.802325581395
2020-05-02,27176,130.65384615384616,14097.423076923076
2020-05-03,29100,127.07423580786026,14414.646288209608
2020-05-04,32441,119.26838235294117,14156.055147058823
2020-05-05,47924,132.38674033149172,15119.439226519336
2020-05-06,25087,130.66145833333334,14419.520833333334
2020-05-07,30062,131.27510917030568,14691.200873362446
2020-05-08,32112,126.4251968503937,14479.267716535433
2020-05-09,30905,132.07264957264957,14827.465811965812
2020-05-10,45494,137.44410876132932,15140.812688821752
