kind,area,period,hour,value
CO,NCP,l1,0,0.60107614
CO,NCP,l1,1,0.604558487
CO,NCP,l1,2,0.610493363
CO,NCP,l1,3,0.611198472
CO,NCP,l1,4,0.611338916
CO,NCP,l1,5,0.612854349
CO,NCP,l1,6,0.619318387
CO,NCP,l1,7,0.627117063
CO,NCP,l1,8,0.643423225
CO,NCP,l1,9,0.651957119
CO,NCP,l1,10,0.64632524
CO,NCP,l1,11,0.628641763
CO,NCP,l1,12,0.597135253
CO,NCP,l1,13,0.560837536
CO,NCP,l1,14,0.531899625
CO,NCP,l1,15,0.51169923
CO,NCP,l1,16,0.500189923
CO,NCP,l1,17,0.4936658
CO,NCP,l1,18,0.501226642
CO,NCP,l1,19,0.526002595
CO,NCP,l1,20,0.551388095
CO,NCP,l1,21,0.566869797
CO,NCP,l1,22,0.578249656
CO,NCP,l1,23,0.581974984
CO,NCP,l2,0,0.41422319
CO,NCP,l2,1,0.417732754
CO,NCP,l2,2,0.417285927
CO,NCP,l2,3,0.416622117
CO,NCP,l2,4,0.419396784
CO,NCP,l2,5,0.425791189
CO,NCP,l2,6,0.425073962
CO,NCP,l2,7,0.444749872
CO,NCP,l2,8,0.471193593
CO,NCP,l2,9,0.468863661
CO,NCP,l2,10,0.445688392
CO,NCP,l2,11,0.421842274
CO,NCP,l2,12,0.391598728
CO,NCP,l2,13,0.374507146
CO,NCP,l2,14,0.361655699
CO,NCP,l2,15,0.343798876
CO,NCP,l2,16,0.339968104
CO,NCP,l2,17,0.339660582
CO,NCP,l2,18,0.353412721
CO,NCP,l2,19,0.366115515
CO,NCP,l2,20,0.386635835
CO,NCP,l2,21,0.396867313
CO,NCP,l2,22,0.408282435
CO,NCP,l2,23,0.409194705
CO,NCP,l3,0,0.410346215
CO,NCP,l3,1,0.407568406
CO,NCP,l3,2,0.415828889
CO,NCP,l3,3,0.413092919
CO,NCP,l3,4,0.419332406
CO,NCP,l3,5,0.429107536
CO,NCP,l3,6,0.439151514
CO,NCP,l3,7,0.461697644
CO,NCP,l3,8,0.484997792
CO,NCP,l3,9,0.468590761
CO,NCP,l3,10,0.444655796
CO,NCP,l3,11,0.416406234
CO,NCP,l3,12,0.377709714
CO,NCP,l3,13,0.353091388
CO,NCP,l3,14,0.329205814
CO,NCP,l3,15,0.321758572
CO,NCP,l3,16,0.322348927
CO,NCP,l3,17,0.323002127
CO,NCP,l3,18,0.328283569
CO,NCP,l3,19,0.350736816
CO,NCP,l3,20,0.380675274
CO,NCP,l3,21,0.399077877
CO,NCP,l3,22,0.407895255
CO,NCP,l3,23,0.404460379
CO,NCP,pre,0,0.882162826
CO,NCP,pre,1,0.870900449
CO,NCP,pre,2,0.862302239
CO,NCP,pre,3,0.854047928
CO,NCP,pre,4,0.850824294
CO,NCP,pre,5,0.853779238
CO,NCP,pre,6,0.872332139
CO,NCP,pre,7,0.885318441
CO,NCP,pre,8,0.93778014
CO,NCP,pre,9,0.986389285
CO,NCP,pre,10,0.969837145
CO,NCP,pre,11,0.91836778
CO,NCP,pre,12,0.855270009
CO,NCP,pre,13,0.802290636
CO,NCP,pre,14,0.75836254
CO,NCP,pre,15,0.726818004
CO,NCP,pre,16,0.712705244
CO,NCP,pre,17,0.718615594
CO,NCP,pre,18,0.758766173
CO,NCP,pre,19,0.806627215
CO,NCP,pre,20,0.839426099
CO,NCP,pre,21,0.863401217
CO,NCP,pre,22,0.880715713
CO,NCP,pre,23,0.889530762
CO,NEC,l1,0,0.714893534
CO,NEC,l1,1,0.718806769
CO,NEC,l1,2,0.71628036
CO,NEC,l1,3,0.710682927
CO,NEC,l1,4,0.715593706
CO,NEC,l1,5,0.723742378
CO,NEC,l1,6,0.722998007
CO,NEC,l1,7,0.738441558
CO,NEC,l1,8,0.776182067
CO,NEC,l1,9,0.792515068
CO,NEC,l1,10,0.753828907
CO,NEC,l1,11,0.696253096
CO,NEC,l1,12,0.64253794
CO,NEC,l1,13,0.591895609
CO,NEC,l1,14,0.544745634
CO,NEC,l1,15,0.523052839
CO,NEC,l1,16,0.515116586
CO,NEC,l1,17,0.552394939
CO,NEC,l1,18,0.61699338
CO,NEC,l1,19,0.674957614
CO,NEC,l1,20,0.708124636
CO,NEC,l1,21,0.725384905
CO,NEC,l1,22,0.731936338
CO,NEC,l1,23,0.731314293
CO,NEC,l2,0,0.506951333
CO,NEC,l2,1,0.503942196
CO,NEC,l2,2,0.510788065
CO,NEC,l2,3,0.510605086
CO,NEC,l2,4,0.507724509
CO,NEC,l2,5,0.508862074
CO,NEC,l2,6,0.520048246
CO,NEC,l2,7,0.55301193
CO,NEC,l2,8,0.58641155
CO,NEC,l2,9,0.566353328
CO,NEC,l2,10,0.50655786
CO,NEC,l2,11,0.452269438
CO,NEC,l2,12,0.424096354
CO,NEC,l2,13,0.397269091
CO,NEC,l2,14,0.383353428
CO,NEC,l2,15,0.376807241
CO,NEC,l2,16,0.377130031
CO,NEC,l2,17,0.386992207
CO,NEC,l2,18,0.409244008
CO,NEC,l2,19,0.44768297
CO,NEC,l2,20,0.481384902
CO,NEC,l2,21,0.500645504
CO,NEC,l2,22,0.508181654
CO,NEC,l2,23,0.511639509
CO,NEC,l3,0,0.639521804
CO,NEC,l3,1,0.638718173
