Time,Dew,SeaP,Temp,WD,WS,hour,rain6,area
2020-01-24 08:00:00+08:00,5.19310344827586,1023.4603448275864,6.84310344827586,169.44827586206895,2.174137931034483,8,3.1862068965517243,CS
2020-01-24 11:00:00+08:00,5.208620689655173,1024.5034482758622,8.460344827586205,149.55172413793105,2.2689655172413783,11,3.822413793103448,CS
2020-01-24 14:00:00+08:00,5.043103448275863,1022.1672413793103,9.289655172413791,154.3448275862069,2.699999999999999,14,3.598275862068965,CS
2020-01-24 17:00:00+08:00,,,,,,17,,CS
2020-01-24 20:00:00+08:00,5.003448275862069,1024.5172413793102,7.4396551724137945,131.8448275862069,2.7155172413793105,20,2.551724137931034,CS
2020-01-24 23:00:00+08:00,,,,,,23,,CS
2020-01-25 02:00:00+08:00,4.3551724137931025,1024.1293103448274,5.660344827586206,163.05172413793105,2.282758620689655,2,4.868965517241379,CS
2020-01-25 05:00:00+08:00,,,,,,5,,CS
2020-01-25 08:00:00+08:00,3.4982758620689656,1025.591379310345,4.596551724137931,157.0,2.25,8,5.229310344827588,CS
2020-01-25 11:00:00+08:00,,,,,,11,,CS
2020-01-25 14:00:00+08:00,,,,,,14,,CS
2020-01-25 17:00:00+08:00,,,,,,17,,CS
2020-01-25 20:00:00+08:00,,,,,,20,,CS
2020-01-25 23:00:00+08:00,,,,,,23,,CS
2020-01-26 02:00:00+08:00,,,,,,2,,CS
2020-01-26 05:00:00+08:00,2.277586206896552,1022.9258620689652,3.4275862068965512,161.25862068965517,1.8224137931034488,5,3.934482758620689,CS
2020-01-26 08:00:00+08:00,2.1620689655172414,1024.1155172413794,3.2637931034482754,160.63793103448276,1.7793103448275864,8,3.6448275862068966,CS
2020-01-26 11:00:00+08:00,,,,,,11,,CS
2020-01-26 14:00:00+08:00,,,,,,14,,CS
2020-01-26 17:00:00+08:00,,,,,,17,,CS
2020-01-26 20:00:00+08:00,,,,,,20,,CS
2020-01-26 23:00:00+08:00,,,,,,23,,CS
2020-01-27 02:00:00+08:00,0.7344827586206897,1021.6206896551727,3.4051724137931036,166.72413793103448,2.0982758620689657,2,0.5724137931034482,CS
2020-01-27 05:00:00+08:00,,,,,,5,,CS
2020-01-27 08:00:00+08:00,0.1862068965517242,1022.4482758620688,2.5396551724137932,185.9655172413793,2.036206896551724,8,0.5448275862068965,CS
2020-01-27 11:00:00+08:00,,,,,,11,,CS
2020-01-27 14:00:00+08:00,,,,,,14,,CS
2020-01-27 17:00:00+08:00,,,,,,17,,CS
2020-01-27 20:00:00+08:00,,,,,,20,,CS
2020-01-27 23:00:00+08:00,,,,,,23,,CS
2020-01-28 02:00:00+08:00,0.596551724137931,1022.3706896551724,3.2775862068965504,185.1206896551724,1.6448275862068966,2,0.41724137931034483,CS
2020-01-28 05:00:00+08:00,,,,,,5,,CS
2020-01-28 08:00:00+08:00,,,,,,8,,CS
2020-01-28 11:00:00+08:00,,,,,,11,,CS
2020-01-28 14:00:00+08:00,,,,,,14,,CS
2020-01-28 17:00:00+08:00,0.13793103448275845,1021.908620689655,7.024137931034481,161.0,2.0000000000000004,17,0.3810344827586207,CS
2020-01-28 20:00:00+08:00,0.5051724137931033,1024.5706896551726,5.3758620689655165,164.41379310344828,1.6051724137931032,20,0.3620689655172414,CS
2020-01-28 23:00:00+08:00,,,,,,23,,CS
2020-01-29 02:00:00+08:00,0.410344827586207,1025.8310344827587,3.2327586206896552,187.5344827586207,1.339655172413793,2,0.4155172413793103,CS
2020-01-29 05:00:00+08:00,0.05000000000000004,1025.6775862068964,2.2551724137931037,208.20689655172413,1.2172413793103447,5,0.39827586206896554,CS
2020-01-29 08:00:00+08:00,-0.282758620689655,1027.3017241379312,1.6844827586206899,172.08620689655172,1.4224137931034482,8,0.36551724137931035,CS
2020-01-29 11:00:00+08:00,0.21379310344827585,1027.8103448275863,5.982758620689652,170.56896551724137,1.7637931034482757,11,0.36551724137931035,CS
2020-01-29 14:00:00+08:00,,,,,,14,,CS
2020-01-29 17:00:00+08:00,-0.5896551724137932,1022.8379310344827,10.348275862068968,174.9655172413793,2.1603448275862074,17,0.3189655172413794,CS
2020-01-29 20:00:00+08:00,,,,,,20,,CS
2020-01-29 23:00:00+08:00,,,,,,23,,CS
2020-01-30 02:00:00+08:00,0.43793103448275855,1025.0655172413792,2.989655172413792,176.10344827586206,1.4965517241379307,2,0.3258620689655173,CS
2020-01-30 05:00:00+08:00,0.13620689655172402,1024.0637931034487,2.0637931034482757,195.5344827586207,1.1517241379310341,5,0.3258620689655173,CS
2020-01-30 08:00:00+08:00,0.20689655172413798,1026.0120689655175,1.7603448275862061,158.63793103448276,1.4810344827586206,8,0.3189655172413794,CS
2020-01-30 11:00:00+08:00,1.0051724137931028,1026.5775862068965,6.748275862068965,204.13793103448276,1.7775862068965518,11,0.34310344827586203,CS
2020-01-30 14:00:00+08:00,-0.632758620689655,1022.6465517241379,10.901724137931037,164.6551724137931,2.4051724137931036,14,0.3672413793103448,CS
2020-01-30 17:00:00+08:00,,,,,,17,,CS
2020-01-30 20:00:00+08:00,0.35172413793103435,1023.0982758620689,7.146551724137931,177.6551724137931,1.8465517241379314,20,0.3793103448275862,CS
2020-01-30 23:00:00+08:00,,,,,,23,,CS
2020-01-31 02:00:00+08:00,0.5396551724137931,1022.7206896551725,3.8637931034482746,169.98275862068965,1.4931034482758625,2,0.4844827586206896,CS
2020-01-31 05:00:00+08:00,,,,,,5,,CS
2020-01-31 08:00:00+08:00,0.10344827586206909,1024.091379310345,2.9724137931034473,160.67241379310346,1.4120689655172414,8,0.4448275862068965,CS
2020-01-31 11:00:00+08:00,0.9310344827586211,1024.5758620689658,7.756896551724136,181.9655172413793,1.53448275862069,11,0.3810344827586207,CS
2020-01-31 14:00:00+08:00,-0.696551724137931,1021.1172413793105,11.155172413793105,187.27586206896552,1.9655172413793105,14,0.3637931034482758,CS
2020-01-31 17:00:00+08:00,-0.3758620689655171,1020.2586206896557,11.08793103448276,152.79310344827587,1.8982758620689657,17,0.36896551724137927,CS
2020-01-31 20:00:00+08:00,0.7465517241379312,1022.3982758620689,7.796551724137933,165.91379310344828,1.572413793103448,20,0.36551724137931035,CS
2020-01-31 23:00:00+08:00,,,,,,23,,CS
2020-02-01 02:00:00+08:00,1.1603448275862076,1022.1224137931035,5.170689655172413,168.77586206896552,1.2931034482758619,2,0.4051724137931034,CS
2020-02-01 05:00:00+08:00,1.1137931034482755,1021.8448275862067,4.553448275862065,200.8793103448276,1.196551724137931,5,0.44999999999999996,CS
2020-02-01 08:00:00+08:00,1.5172413793103448,1023.8051724137929,4.437931034482757,148.1551724137931,1.4275862068965517,8,0.46551724137931033,CS
2020-02-01 11:00:00+08:00,1.991379310344828,1023.6379310344826,8.482758620689653,194.22413793103448,1.691379310344827,11,0.41724137931034483,CS
2020-02-01 14:00:00+08:00,0.8637931034482755,1020.0396551724139,11.744827586206899,147.63793103448276,2.155172413793103,14,0.32931034482758625,CS
2020-02-01 17:00:00+08:00,,,,,,17,,CS
2020-02-01 20:00:00+08:00,1.7413793103448276,1021.5103448275863,9.051724137931036,145.93103448275863,1.663793103448276,20,0.3258620689655173,CS
2020-02-01 23:00:00+08:00,,,,,,23,,CS
2020-02-02 02:00:00+08:00,2.613793103448276,1021.756896551724,7.108620689655172,167.32758620689654,1.5241379310344831,2,0.7275862068965516,CS
2020-02-02 05:00:00+08:00,3.0017241379310344,1022.058620689655,6.237931034482756,194.6206896551724,1.4137931034482758,5,0.9948275862068965,CS
2020-02-02 08:00:00+08:00,3.4396551724137927,1024.7224137931037,5.887931034482758,153.43103448275863,1.5189655172413794,8,1.0362068965517244,CS
2020-02-02 11:00:00+08:00,,,,,,11,,CS
2020-02-02 14:00:00+08:00,3.789655172413793,1022.1017241379313,9.82241379310345,187.82758620689654,1.9310344827586206,14,0.7655172413793104,CS
2020-02-02 17:00:00+08:00,3.781034482758621,1021.8137931034485,9.41896551724138,175.3793103448276,2.027586206896552,17,0.6879310344827588,CS
2020-02-02 20:00:00+08:00,4.3086206896551715,1024.2844827586205,7.924137931034482,151.8448275862069,1.910344827586207,20,0.786206896551724,CS
2020-02-02 23:00:00+08:00,,,,,,23,,CS
2020-02-03 02:00:00+08:00,4.387931034482759,1024.7879310344827,6.393103448275864,173.08620689655172,1.818965517241379,2,2.048275862068966,CS
2020-02-03 05:00:00+08:00,4.067241379310344,1024.2810344827587,5.791379310344826,197.27586206896552,1.6310344827586205,5,2.2241379310344827,CS
2020-02-03 08:00:00+08:00,3.9586206896551714,1026.2879310344827,5.565517241379308,167.10344827586206,1.660344827586207,8,1.8965517241379308,CS
2020-02-03 11:00:00+08:00,4.205172413793104,1027.0689655172414,7.699999999999997,156.31034482758622,1.6793103448275861,11,1.7948275862068965,CS
2020-02-03 14:00:00+08:00,3.796551724137932,1023.8793103448272,9.122413793103446,170.1551724137931,1.9655172413793103,14,1.3448275862068966,CS
2020-02-03 17:00:00+08:00,,,,,,17,,CS
2020-02-03 20:00:00+08:00,4.341379310344828,1024.4103448275864,7.774137931034483,157.72413793103448,1.5206896551724136,20,0.5620689655172415,CS
2020-02-03 23:00:00+08:00,,,,,,23,,CS
2020-02-04 02:00:00+08:00,4.2827586206896555,1024.043103448276,6.213793103448274,166.94827586206895,1.3672413793103446,2,0.5310344827586208,CS
