kind,area,Time.1,value
CO,NCP,0,0.5729886768512662
CO,NCP,1,0.5719296875310234
CO,NCP,2,0.5737896119291942
CO,NCP,3,0.5694166577651156
CO,NCP,4,0.5737888388206871
CO,NCP,5,0.5807484400003005
CO,NCP,6,0.5836625217445065
CO,NCP,7,0.6022210216982994
CO,NCP,8,0.6297668848365099
CO,NCP,9,0.6396780291190423
CO,NCP,10,0.6202333112913399
CO,NCP,11,0.5929337005467789
CO,NCP,12,0.5547698208415753
CO,NCP,13,0.5230861649027364
CO,NCP,14,0.4960782736561101
CO,NCP,15,0.47513915802166407
CO,NCP,16,0.46951323800809147
CO,NCP,17,0.46887151834455254
CO,NCP,18,0.4870441781048812
CO,NCP,19,0.5113043764328999
CO,NCP,20,0.538920870932345
CO,NCP,21,0.5535163171622675
CO,NCP,22,0.5668949830937495
CO,NCP,23,0.5675195677328981
CO,NEC,0,0.7069233030213357
CO,NEC,1,0.7127755527626498
CO,NEC,2,0.7121299259879914
CO,NEC,3,0.7156074690515103
CO,NEC,4,0.7211545957402807
CO,NEC,5,0.7257205877414875
CO,NEC,6,0.7354576631558127
CO,NEC,7,0.7656240655401951
CO,NEC,8,0.8028885467579018
CO,NEC,9,0.8022410298430221
CO,NEC,10,0.7456739221392807
CO,NEC,11,0.6766877075822059
CO,NEC,12,0.6158518006309427
CO,NEC,13,0.5574514423952516
CO,NEC,14,0.5158884651150876
CO,NEC,15,0.4926605456574267
CO,NEC,16,0.4912798975620652
CO,NEC,17,0.5193218406555757
CO,NEC,18,0.5695680596285436
CO,NEC,19,0.6220166777328991
CO,NEC,20,0.6656822192977092
CO,NEC,21,0.6893064908058059
CO,NEC,22,0.7015651806209983
CO,NEC,23,0.7106764418377327
CO,NW,0,0.9678453703703709
CO,NW,1,0.9696706414473691
CO,NW,2,0.9677382726269321
CO,NW,3,0.9557346345514962
CO,NW,4,0.9497490212527963
CO,NW,5,0.9493536853685371
CO,NW,6,0.9624889258028796
CO,NW,7,1.000975913621263
CO,NW,8,1.0486492825607068
CO,NW,9,1.1142048611111122
CO,NW,10,1.1580517429193897
CO,NW,11,1.1580343543046352
CO,NW,12,1.0795178571428565
CO,NW,13,0.9958194444444443
CO,NW,14,0.9025350729517395
CO,NW,15,0.8431730011261261
CO,NW,16,0.7943759754738022
CO,NW,17,0.7805109427609427
CO,NW,18,0.8075179378531071
CO,NW,19,0.847990881032548
CO,NW,20,0.9062268990929708
CO,NW,21,0.9293378267973859
CO,NW,22,0.9495115740740739
CO,NW,23,0.966667207792207
CO,PR,0,0.4840575731649289
CO,PR,1,0.4762447980473057
CO,PR,2,0.4675909282736075
CO,PR,3,0.46249543487709727
CO,PR,4,0.4576402713066514
CO,PR,5,0.4559612753095019
CO,PR,6,0.4566531349885999
CO,PR,7,0.4636573949603346
CO,PR,8,0.48238287400000873
CO,PR,9,0.4983874151525735
CO,PR,10,0.49222237392287177
CO,PR,11,0.4807806867660079
CO,PR,12,0.46652528469992605
CO,PR,13,0.4542448093490474
CO,PR,14,0.44166179931034477
CO,PR,15,0.43712676886841345
CO,PR,16,0.4356544050056755
CO,PR,17,0.44136152976640153
CO,PR,18,0.4576561802687474
CO,PR,19,0.4844621423903868
CO,PR,20,0.4936500686876355
CO,PR,21,0.49858655290500087
CO,PR,22,0.4966085110673609
CO,PR,23,0.4937522394515379
CO,SC,0,0.4763699600443174
CO,SC,1,0.4689397168412702
CO,SC,2,0.46886545362747256
CO,SC,3,0.4579866548965475
CO,SC,4,0.4595226674916982
CO,SC,5,0.4544237728868991
CO,SC,6,0.45584902739249467
CO,SC,7,0.4655652582872904
CO,SC,8,0.4886071596406931
CO,SC,9,0.5116547114708218
CO,SC,10,0.506670381228193
CO,SC,11,0.49339337179231507
CO,SC,12,0.4750233393612388
CO,SC,13,0.45762164611629014
CO,SC,14,0.43766982007221683
CO,SC,15,0.4271570700253246
CO,SC,16,0.42105317122467745
CO,SC,17,0.4234831193417149
CO,SC,18,0.4363909858993616
CO,SC,19,0.45508948177121916
CO,SC,20,0.46872285709377953
CO,SC,21,0.4747534007385033
CO,SC,22,0.4794567242914966
CO,SC,23,0.4771155882561358
CO,TP,0,0.742503908285565
CO,TP,1,0.7361868686868687
CO,TP,2,0.736156015037594
CO,TP,3,0.738028319529789
CO,TP,4,0.7220418848167538
CO,TP,5,0.7372807017543856
CO,TP,6,0.7486799887419078
CO,TP,7,0.8183292214912288
CO,TP,8,1.0249875998897764
CO,TP,9,1.1677225130890054
CO,TP,10,1.2334516847674741
CO,TP,11,1.1857894736842118
CO,TP,12,1.0283324382384536
CO,TP,13,0.8806970884658453
CO,TP,14,0.7772050318102944
CO,TP,15,0.6854986914800816
CO,TP,16,0.6446839080459763
CO,TP,17,0.6124440411373261
CO,TP,18,0.6208351080012166
CO,TP,19,0.669558479532164
CO,TP,20,0.7158193163320676
CO,TP,21,0.7724372469635631
CO,TP,22,0.801292367043262
CO,TP,23,0.7766360978203085
CO,YR,0,0.40791196464175644
CO,YR,1,0.4006987863599354
CO,YR,2,0.3984557117067612
CO,YR,3,0.3945201941785114
CO,YR,4,0.39973986135056566
CO,YR,5,0.398071421764216
CO,YR,6,0.4032636021407131
CO,YR,7,0.41536908168700737
CO,YR,8,0.43550773666214754
CO,YR,9,0.4429291697447079
CO,YR,10,0.4338617545876223
CO,YR,11,0.42091639305751455
CO,YR,12,0.4090583528082152
CO,YR,13,0.3990788120684008
CO,YR,14,0.38544536061269286
CO,YR,15,0.3791216672580867
CO,YR,16,0.3791473002861571
CO,YR,17,0.38521741548173666
CO,YR,18,0.39913291342745744
CO,YR,19,0.4070803046202515
CO,YR,20,0.4152108822518031
CO,YR,21,0.41696479338188197
CO,YR,22,0.4168813435368431
CO,YR,23,0.4094127891395882
NO2,NCP,0,24.177461178883014
NO2,NCP,1,23.73566476299516
NO2,NCP,2,23.34162281071459
NO2,NCP,3,22.775379209995062
NO2,NCP,4,22.45715774610171
NO2,NCP,5,22.24576883423589
NO2,NCP,6,22.248852132887674
NO2,NCP,7,23.238031657437872
NO2,NCP,8,23.690497745755952
NO2,NCP,9,22.108182675749486
NO2,NCP,10,20.115867283360977
NO2,NCP,11,18.19624970374461
NO2,NCP,12,16.242925979147753
NO2,NCP,13,14.817129911001512
NO2,NCP,14,13.838627576976135
NO2,NCP,15,13.708181299524787
NO2,NCP,16,14.222194171093298
NO2,NCP,17,15.41617336674197
NO2,NCP,18,17.876209176766995
NO2,NCP,19,20.528737986193146
NO2,NCP,20,22.735125417139425
NO2,NCP,21,23.8924699977402
NO2,NCP,22,24.683063481891647
NO2,NCP,23,24.522858575312338
NO2,NEC,0,26.943084423881466
NO2,NEC,1,26.27798119487527
NO2,NEC,2,25.55275781549085
NO2,NEC,3,24.932648885519008
NO2,NEC,4,24.481293983588206
NO2,NEC,5,24.386315038212032
NO2,NEC,6,25.189231019876182
NO2,NEC,7,27.033243449894815
NO2,NEC,8,27.42339982486151
NO2,NEC,9,25.177486235152102
NO2,NEC,10,22.29796475569476
NO2,NEC,11,19.71976818880044
NO2,NEC,12,17.606842573896078
NO2,NEC,13,15.907306248732002
NO2,NEC,14,15.011196598094024
NO2,NEC,15,15.2713196937722
NO2,NEC,16,16.528331613121665
NO2,NEC,17,19.48718212524575
NO2,NEC,18,23.257376165854527
NO2,NEC,19,26.79965003218202
NO2,NEC,20,28.682968608790265
NO2,NEC,21,29.28266062550089
NO2,NEC,22,28.784946236559136
NO2,NEC,23,27.996548200029718
NO2,NW,0,43.19072327044026
NO2,NW,1,42.000871459694984
NO2,NW,2,40.5402505446623
NO2,NW,3,39.12739071038252
NO2,NW,4,37.87926292629265
NO2,NW,5,36.98633279044517
NO2,NW,6,36.683497267759584
NO2,NW,7,37.39331140350879
NO2,NW,8,38.51329234972681
NO2,NW,9,38.49268426842683
NO2,NW,10,37.14774811218987
NO2,NW,11,34.915419407894746
NO2,NW,12,31.65021574973032
NO2,NW,13,28.65564381270903
NO2,NW,14,25.348519736842103
NO2,NW,15,23.764043715846995
NO2,NW,16,23.246820175438597
NO2,NW,17,24.120358306188926
NO2,NW,18,27.048999999999996
NO2,NW,19,31.69848104793757
NO2,NW,20,37.067323825503365
NO2,NW,21,41.25841476655808
NO2,NW,22,43.59026881720429
NO2,NW,23,44.26637001078749
NO2,PR,0,19.57244444753738
NO2,PR,1,18.46733190818891
NO2,PR,2,17.531267026898874
NO2,PR,3,16.844490263905783
NO2,PR,4,16.350129129000223
NO2,PR,5,16.054785420946665
NO2,PR,6,15.98786926617276
NO2,PR,7,16.456474903612424
NO2,PR,8,17.340318259534612
NO2,PR,9,17.595296879169982
NO2,PR,10,17.10180885024684
NO2,PR,11,15.787194722640349
NO2,PR,12,14.665144919844444
NO2,PR,13,13.368057707385583
NO2,PR,14,12.397965027252653
NO2,PR,15,12.447734440655704
NO2,PR,16,12.962433624284193
NO2,PR,17,14.14961058091005
NO2,PR,18,16.121998428273525
NO2,PR,19,18.715201903242573
NO2,PR,20,19.805368173249917
NO2,PR,21,20.591826801161975
NO2,PR,22,20.68848176948194
NO2,PR,23,20.385264345443357
NO2,SC,0,18.34139466548742
NO2,SC,1,17.518839991206434
NO2,SC,2,16.76720824959507
NO2,SC,3,15.727475496074703
NO2,SC,4,15.2595087397852
NO2,SC,5,14.54244843675006
NO2,SC,6,14.325355542520661
NO2,SC,7,14.83770693037911
NO2,SC,8,16.1149190790261
NO2,SC,9,16.543553156317323
NO2,SC,10,16.02346305743414
NO2,SC,11,14.9493111001276
