area,period,hour,value
NCP,l1,0,25.14863688
NCP,l1,1,25.08556885
NCP,l1,2,25.01527882
NCP,l1,3,24.57588328
NCP,l1,4,24.09843443
NCP,l1,5,23.66540753
NCP,l1,6,23.35504849
NCP,l1,7,23.32567843
NCP,l1,8,23.20928662
NCP,l1,9,23.47558426
NCP,l1,10,24.14579201
NCP,l1,11,24.89238566
NCP,l1,12,25.02772626
NCP,l1,13,24.7297298
NCP,l1,14,24.67602685
NCP,l1,15,24.61947704
NCP,l1,16,24.48868435
NCP,l1,17,24.27156474
NCP,l1,18,24.18158553
NCP,l1,19,24.32910687
NCP,l1,20,24.70382286
NCP,l1,21,24.9761674
NCP,l1,22,24.92681447
NCP,l1,23,24.65109479
NCP,l2,0,21.75840078
NCP,l2,1,21.78506208
NCP,l2,2,21.53302574
NCP,l2,3,21.07067885
NCP,l2,4,21.18703397
NCP,l2,5,21.06731161
NCP,l2,6,20.93902003
NCP,l2,7,20.96859836
NCP,l2,8,21.23656919
NCP,l2,9,21.88443024
NCP,l2,10,21.81693265
NCP,l2,11,21.98504646
NCP,l2,12,22.04184958
NCP,l2,13,22.06328183
NCP,l2,14,22.26325987
NCP,l2,15,22.09279857
NCP,l2,16,22.4559223
NCP,l2,17,22.48323838
NCP,l2,18,22.32022579
NCP,l2,19,22.09535854
NCP,l2,20,22.2275508
NCP,l2,21,22.3350098
NCP,l2,22,22.3721123
NCP,l2,23,22.22042128
NCP,l3,0,24.41436913
NCP,l3,1,23.75112138
NCP,l3,2,23.81173734
NCP,l3,3,23.21434409
NCP,l3,4,23.10007779
NCP,l3,5,23.21437758
NCP,l3,6,23.27707078
NCP,l3,7,23.49875352
NCP,l3,8,24.12973957
NCP,l3,9,24.92004008
NCP,l3,10,25.48682795
NCP,l3,11,25.95281973
NCP,l3,12,25.42434867
NCP,l3,13,25.26160639
NCP,l3,14,24.68601963
NCP,l3,15,24.8361732
NCP,l3,16,25.45100273
NCP,l3,17,25.84504474
NCP,l3,18,25.30212761
NCP,l3,19,24.96118533
NCP,l3,20,25.18453356
NCP,l3,21,25.37223866
NCP,l3,22,25.08701925
NCP,l3,23,24.47529747
NCP,pre,0,32.95924598
NCP,pre,1,32.09308963
NCP,pre,2,31.65376647
NCP,pre,3,30.96420642
NCP,pre,4,30.33523194
NCP,pre,5,29.96676723
NCP,pre,6,30.27483427
NCP,pre,7,29.92801747
NCP,pre,8,30.39369433
NCP,pre,9,31.4466141
NCP,pre,10,32.53210978
NCP,pre,11,33.00649422
NCP,pre,12,32.40710717
NCP,pre,13,31.92751325
NCP,pre,14,31.40855303
NCP,pre,15,30.94917752
NCP,pre,16,30.67594741
NCP,pre,17,30.71348634
NCP,pre,18,31.3772512
NCP,pre,19,32.36739723
NCP,pre,20,33.20517581
NCP,pre,21,33.69500187
NCP,pre,22,33.88254446
NCP,pre,23,33.79694933
NEC,l1,0,33.1893545
NEC,l1,1,33.63520619
NEC,l1,2,32.50899371
NEC,l1,3,31.48314494
NEC,l1,4,30.27249694
NEC,l1,5,29.60784759
NEC,l1,6,29.16206567
NEC,l1,7,29.28837931
NEC,l1,8,30.16753639
NEC,l1,9,31.54546024
NEC,l1,10,32.2187105
NEC,l1,11,31.20195305
NEC,l1,12,29.91747829
NEC,l1,13,28.81792789
NEC,l1,14,27.54017354
NEC,l1,15,27.0659265
NEC,l1,16,26.64408513
NEC,l1,17,27.73307311
NEC,l1,18,29.49909337
NEC,l1,19,31.24647364
NEC,l1,20,32.37106341
NEC,l1,21,33.13751723
NEC,l1,22,33.43290474
NEC,l1,23,33.54577885
NEC,l2,0,25.56248885
NEC,l2,1,25.10476295
NEC,l2,2,24.85847281
NEC,l2,3,24.44499237
NEC,l2,4,23.97937089
NEC,l2,5,23.38515581
NEC,l2,6,23.28164481
NEC,l2,7,24.03840953
NEC,l2,8,25.33308312
NEC,l2,9,25.83124551
NEC,l2,10,25.17828607
NEC,l2,11,24.21645748
NEC,l2,12,23.75038214
NEC,l2,13,23.48329935
NEC,l2,14,23.10921832
NEC,l2,15,23.23383567
NEC,l2,16,23.37982444
NEC,l2,17,23.73767977
NEC,l2,18,23.85204475
NEC,l2,19,24.96009081
