Time,Time,value,area,kind,period
2020-02-26 00:00:00,0,0.9880000000000001,CS,CO,l2
2020-02-26 01:00:00,1,1.034,CS,CO,l2
2020-02-26 02:00:00,2,1.034,CS,CO,l2
2020-02-26 03:00:00,3,1.03,CS,CO,l2
2020-02-26 04:00:00,4,1.078,CS,CO,l2
2020-02-26 05:00:00,5,1.076,CS,CO,l2
2020-02-26 06:00:00,6,1.072,CS,CO,l2
2020-02-26 07:00:00,7,1.042,CS,CO,l2
2020-02-26 08:00:00,8,1.072,CS,CO,l2
2020-02-26 09:00:00,9,1.1640000000000001,CS,CO,l2
2020-02-26 10:00:00,10,1.174,CS,CO,l2
2020-02-26 11:00:00,11,1.1199999999999999,CS,CO,l2
2020-02-26 12:00:00,12,1.0639999999999998,CS,CO,l2
2020-02-26 13:00:00,13,1.032,CS,CO,l2
2020-02-26 14:00:00,14,0.998,CS,CO,l2
2020-02-26 15:00:00,15,0.986,CS,CO,l2
2020-02-26 16:00:00,16,0.9719999999999999,CS,CO,l2
2020-02-26 17:00:00,17,0.968,CS,CO,l2
2020-02-26 18:00:00,18,0.966,CS,CO,l2
2020-02-26 19:00:00,19,0.952,CS,CO,l2
2020-02-26 20:00:00,20,0.9560000000000001,CS,CO,l2
2020-02-26 21:00:00,21,0.946,CS,CO,l2
2020-02-26 22:00:00,22,0.93,CS,CO,l2
2020-02-26 23:00:00,23,0.922,CS,CO,l2
2020-02-27 00:00:00,0,0.946,CS,CO,l2
2020-02-27 01:00:00,1,1.008,CS,CO,l2
2020-02-27 02:00:00,2,1.012,CS,CO,l2
2020-02-27 03:00:00,3,1.0219999999999998,CS,CO,l2
2020-02-27 04:00:00,4,0.992,CS,CO,l2
2020-02-27 05:00:00,5,0.9560000000000001,CS,CO,l2
2020-02-27 06:00:00,6,0.9380000000000001,CS,CO,l2
2020-02-27 07:00:00,7,0.9339999999999999,CS,CO,l2
2020-02-27 08:00:00,8,0.914,CS,CO,l2
2020-02-27 09:00:00,9,0.9139999999999999,CS,CO,l2
2020-02-27 10:00:00,10,0.9480000000000001,CS,CO,l2
2020-02-27 11:00:00,11,0.958,CS,CO,l2
2020-02-27 12:00:00,12,0.958,CS,CO,l2
2020-02-27 13:00:00,13,0.8960000000000001,CS,CO,l2
2020-02-27 14:00:00,14,0.992,CS,CO,l2
2020-02-27 15:00:00,15,0.8859999999999999,CS,CO,l2
2020-02-27 16:00:00,16,0.9279999999999999,CS,CO,l2
2020-02-27 17:00:00,17,0.952,CS,CO,l2
2020-02-27 18:00:00,18,0.93,CS,CO,l2
2020-02-27 19:00:00,19,0.908,CS,CO,l2
2020-02-27 20:00:00,20,0.9119999999999999,CS,CO,l2
2020-02-27 21:00:00,21,0.898,CS,CO,l2
2020-02-27 22:00:00,22,0.916,CS,CO,l2
2020-02-27 23:00:00,23,0.9359999999999999,CS,CO,l2
2020-02-28 00:00:00,0,0.932,CS,CO,l2
2020-02-28 01:00:00,1,0.9099999999999999,CS,CO,l2
2020-02-28 02:00:00,2,0.874,CS,CO,l2
2020-02-28 03:00:00,3,0.8699999999999999,CS,CO,l2
2020-02-28 04:00:00,4,,CS,CO,l2
2020-02-28 05:00:00,5,,CS,CO,l2
2020-02-28 06:00:00,6,,CS,CO,l2
2020-02-28 07:00:00,7,,CS,CO,l2
2020-02-28 08:00:00,8,,CS,CO,l2
2020-02-28 09:00:00,9,,CS,CO,l2
2020-02-28 10:00:00,10,0.874,CS,CO,l2
2020-02-28 11:00:00,11,0.8400000000000001,CS,CO,l2
2020-02-28 12:00:00,12,0.8160000000000001,CS,CO,l2
2020-02-28 13:00:00,13,0.9279999999999999,CS,CO,l2
2020-02-28 14:00:00,14,0.7939999999999999,CS,CO,l2
2020-02-28 15:00:00,15,0.782,CS,CO,l2
2020-02-28 16:00:00,16,0.764,CS,CO,l2
2020-02-28 17:00:00,17,0.748,CS,CO,l2
2020-02-28 18:00:00,18,0.748,CS,CO,l2
2020-02-28 19:00:00,19,0.7460000000000001,CS,CO,l2
2020-02-28 20:00:00,20,0.766,CS,CO,l2
2020-02-28 21:00:00,21,0.7899999999999999,CS,CO,l2
2020-02-28 22:00:00,22,0.8240000000000001,CS,CO,l2
2020-02-28 23:00:00,23,0.876,CS,CO,l2
2020-02-29 00:00:00,0,0.866,CS,CO,l2
2020-02-29 01:00:00,1,0.844,CS,CO,l2
2020-02-29 02:00:00,2,0.8640000000000001,CS,CO,l2
2020-02-29 03:00:00,3,0.9339999999999999,CS,CO,l2
2020-02-29 04:00:00,4,0.938,CS,CO,l2
2020-02-29 05:00:00,5,0.994,CS,CO,l2
2020-02-29 06:00:00,6,1.054,CS,CO,l2
2020-02-29 07:00:00,7,0.9960000000000001,CS,CO,l2
2020-02-29 08:00:00,8,1.018,CS,CO,l2
2020-02-29 09:00:00,9,1.068,CS,CO,l2
2020-02-29 10:00:00,10,0.9799999999999999,CS,CO,l2
2020-02-29 11:00:00,11,0.9019999999999999,CS,CO,l2
2020-02-29 12:00:00,12,0.85,CS,CO,l2
