Time,Time,value,area,kind,period
2020-04-01 00:00:00,0,47.0,CS,NO2,l3
2020-04-01 01:00:00,1,44.0,CS,NO2,l3
2020-04-01 02:00:00,2,39.8,CS,NO2,l3
2020-04-01 03:00:00,3,38.8,CS,NO2,l3
2020-04-01 04:00:00,4,38.8,CS,NO2,l3
2020-04-01 05:00:00,5,37.2,CS,NO2,l3
2020-04-01 06:00:00,6,35.8,CS,NO2,l3
2020-04-01 07:00:00,7,35.8,CS,NO2,l3
2020-04-01 08:00:00,8,39.6,CS,NO2,l3
2020-04-01 09:00:00,9,40.8,CS,NO2,l3
2020-04-01 10:00:00,10,33.2,CS,NO2,l3
2020-04-01 11:00:00,11,30.4,CS,NO2,l3
2020-04-01 12:00:00,12,26.4,CS,NO2,l3
2020-04-01 13:00:00,13,22.2,CS,NO2,l3
2020-04-01 14:00:00,14,19.8,CS,NO2,l3
2020-04-01 15:00:00,15,20.4,CS,NO2,l3
2020-04-01 16:00:00,16,21.6,CS,NO2,l3
2020-04-01 17:00:00,17,24.4,CS,NO2,l3
2020-04-01 18:00:00,18,28.0,CS,NO2,l3
2020-04-01 19:00:00,19,32.2,CS,NO2,l3
2020-04-01 20:00:00,20,36.8,CS,NO2,l3
2020-04-01 21:00:00,21,41.0,CS,NO2,l3
2020-04-01 22:00:00,22,42.4,CS,NO2,l3
2020-04-01 23:00:00,23,46.6,CS,NO2,l3
2020-04-02 00:00:00,0,49.8,CS,NO2,l3
2020-04-02 01:00:00,1,47.2,CS,NO2,l3
2020-04-02 02:00:00,2,42.6,CS,NO2,l3
2020-04-02 03:00:00,3,37.0,CS,NO2,l3
2020-04-02 04:00:00,4,35.0,CS,NO2,l3
2020-04-02 05:00:00,5,34.8,CS,NO2,l3
2020-04-02 06:00:00,6,34.4,CS,NO2,l3
2020-04-02 07:00:00,7,31.8,CS,NO2,l3
2020-04-02 08:00:00,8,32.2,CS,NO2,l3
2020-04-02 09:00:00,9,34.6,CS,NO2,l3
2020-04-02 10:00:00,10,34.8,CS,NO2,l3
2020-04-02 11:00:00,11,35.6,CS,NO2,l3
2020-04-02 12:00:00,12,34.0,CS,NO2,l3
2020-04-02 13:00:00,13,30.0,CS,NO2,l3
2020-04-02 14:00:00,14,28.0,CS,NO2,l3
2020-04-02 15:00:00,15,27.2,CS,NO2,l3
2020-04-02 16:00:00,16,28.0,CS,NO2,l3
2020-04-02 17:00:00,17,29.8,CS,NO2,l3
2020-04-02 18:00:00,18,30.0,CS,NO2,l3
2020-04-02 19:00:00,19,31.4,CS,NO2,l3
2020-04-02 20:00:00,20,32.6,CS,NO2,l3
2020-04-02 21:00:00,21,31.8,CS,NO2,l3
2020-04-02 22:00:00,22,33.2,CS,NO2,l3
2020-04-02 23:00:00,23,35.2,CS,NO2,l3
2020-04-03 00:00:00,0,35.4,CS,NO2,l3
2020-04-03 01:00:00,1,34.0,CS,NO2,l3
2020-04-03 02:00:00,2,32.6,CS,NO2,l3
2020-04-03 03:00:00,3,32.6,CS,NO2,l3
2020-04-03 04:00:00,4,28.6,CS,NO2,l3
2020-04-03 05:00:00,5,25.4,CS,NO2,l3
2020-04-03 06:00:00,6,25.4,CS,NO2,l3
2020-04-03 07:00:00,7,27.2,CS,NO2,l3
2020-04-03 08:00:00,8,34.4,CS,NO2,l3
2020-04-03 09:00:00,9,35.8,CS,NO2,l3
2020-04-03 10:00:00,10,35.0,CS,NO2,l3
2020-04-03 11:00:00,11,32.0,CS,NO2,l3
2020-04-03 12:00:00,12,30.4,CS,NO2,l3
2020-04-03 13:00:00,13,27.4,CS,NO2,l3
2020-04-03 14:00:00,14,24.6,CS,NO2,l3
2020-04-03 15:00:00,15,23.2,CS,NO2,l3
2020-04-03 16:00:00,16,24.2,CS,NO2,l3
2020-04-03 17:00:00,17,26.2,CS,NO2,l3
2020-04-03 18:00:00,18,28.6,CS,NO2,l3
2020-04-03 19:00:00,19,29.4,CS,NO2,l3
2020-04-03 20:00:00,20,29.8,CS,NO2,l3
2020-04-03 21:00:00,21,30.4,CS,NO2,l3
2020-04-03 22:00:00,22,32.0,CS,NO2,l3
2020-04-03 23:00:00,23,38.4,CS,NO2,l3
2020-04-04 00:00:00,0,38.6,CS,NO2,l3
2020-04-04 01:00:00,1,38.0,CS,NO2,l3
2020-04-04 02:00:00,2,36.0,CS,NO2,l3
2020-04-04 03:00:00,3,38.4,CS,NO2,l3
2020-04-04 04:00:00,4,39.6,CS,NO2,l3
2020-04-04 05:00:00,5,38.0,CS,NO2,l3
2020-04-04 06:00:00,6,37.4,CS,NO2,l3
2020-04-04 07:00:00,7,36.6,CS,NO2,l3
2020-04-04 08:00:00,8,37.2,CS,NO2,l3
2020-04-04 09:00:00,9,37.2,CS,NO2,l3
2020-04-04 10:00:00,10,37.2,CS,NO2,l3
2020-04-04 11:00:00,11,34.0,CS,NO2,l3
2020-04-04 12:00:00,12,29.0,CS,NO2,l3
2020-04-04 13:00:00,13,24.8,CS,NO2,l3
2020-04-04 14:00:00,14,23.0,CS,NO2,l3
2020-04-04 15:00:00,15,23.8,CS,NO2,l3
2020-04-04 16:00:00,16,23.6,CS,NO2,l3
2020-04-04 17:00:00,17,22.6,CS,NO2,l3
2020-04-04 18:00:00,18,23.4,CS,NO2,l3
2020-04-04 19:00:00,19,25.6,CS,NO2,l3
2020-04-04 20:00:00,20,30.8,CS,NO2,l3
2020-04-04 21:00:00,21,39.4,CS,NO2,l3
2020-04-04 22:00:00,22,48.0,CS,NO2,l3
2020-04-04 23:00:00,23,49.8,CS,NO2,l3
2020-04-05 00:00:00,0,53.0,CS,NO2,l3
2020-04-05 01:00:00,1,50.4,CS,NO2,l3
2020-04-05 02:00:00,2,46.4,CS,NO2,l3
2020-04-05 03:00:00,3,43.2,CS,NO2,l3
2020-04-05 04:00:00,4,38.2,CS,NO2,l3
2020-04-05 05:00:00,5,38.0,CS,NO2,l3
