Time,Time,value,area,kind,period
2020-01-01 00:00:00,0,46.2,CS,NO2,pre
2020-01-01 01:00:00,1,43.8,CS,NO2,pre
2020-01-01 02:00:00,2,43.0,CS,NO2,pre
2020-01-01 03:00:00,3,41.4,CS,NO2,pre
2020-01-01 04:00:00,4,39.2,CS,NO2,pre
2020-01-01 05:00:00,5,40.2,CS,NO2,pre
2020-01-01 06:00:00,6,40.8,CS,NO2,pre
2020-01-01 07:00:00,7,42.4,CS,NO2,pre
2020-01-01 08:00:00,8,44.8,CS,NO2,pre
2020-01-01 09:00:00,9,44.4,CS,NO2,pre
2020-01-01 10:00:00,10,45.0,CS,NO2,pre
2020-01-01 11:00:00,11,42.8,CS,NO2,pre
2020-01-01 12:00:00,12,44.4,CS,NO2,pre
2020-01-01 13:00:00,13,42.0,CS,NO2,pre
2020-01-01 14:00:00,14,39.2,CS,NO2,pre
2020-01-01 15:00:00,15,41.0,CS,NO2,pre
2020-01-01 16:00:00,16,43.2,CS,NO2,pre
2020-01-01 17:00:00,17,45.8,CS,NO2,pre
2020-01-01 18:00:00,18,48.4,CS,NO2,pre
2020-01-01 19:00:00,19,50.0,CS,NO2,pre
2020-01-01 20:00:00,20,51.4,CS,NO2,pre
2020-01-01 21:00:00,21,50.4,CS,NO2,pre
2020-01-01 22:00:00,22,49.8,CS,NO2,pre
2020-01-01 23:00:00,23,50.0,CS,NO2,pre
2020-01-02 00:00:00,0,50.4,CS,NO2,pre
2020-01-02 01:00:00,1,49.4,CS,NO2,pre
2020-01-02 02:00:00,2,47.4,CS,NO2,pre
2020-01-02 03:00:00,3,44.8,CS,NO2,pre
2020-01-02 04:00:00,4,43.8,CS,NO2,pre
2020-01-02 05:00:00,5,42.4,CS,NO2,pre
2020-01-02 06:00:00,6,41.8,CS,NO2,pre
2020-01-02 07:00:00,7,42.2,CS,NO2,pre
2020-01-02 08:00:00,8,45.2,CS,NO2,pre
2020-01-02 09:00:00,9,46.2,CS,NO2,pre
2020-01-02 10:00:00,10,46.6,CS,NO2,pre
2020-01-02 11:00:00,11,45.0,CS,NO2,pre
2020-01-02 12:00:00,12,44.4,CS,NO2,pre
2020-01-02 13:00:00,13,43.4,CS,NO2,pre
2020-01-02 14:00:00,14,44.0,CS,NO2,pre
2020-01-02 15:00:00,15,43.6,CS,NO2,pre
2020-01-02 16:00:00,16,43.4,CS,NO2,pre
2020-01-02 17:00:00,17,44.6,CS,NO2,pre
2020-01-02 18:00:00,18,48.4,CS,NO2,pre
2020-01-02 19:00:00,19,53.2,CS,NO2,pre
