Time,Time,O3,area,period
2020-01-01 00:00:00,0,16.0,CS,pre
2020-01-01 01:00:00,1,16.8,CS,pre
2020-01-01 02:00:00,2,15.8,CS,pre
2020-01-01 03:00:00,3,16.2,CS,pre
2020-01-01 04:00:00,4,18.2,CS,pre
2020-01-01 05:00:00,5,16.6,CS,pre
2020-01-01 06:00:00,6,13.8,CS,pre
2020-01-01 07:00:00,7,12.6,CS,pre
2020-01-01 08:00:00,8,9.8,CS,pre
2020-01-01 09:00:00,9,9.4,CS,pre
2020-01-01 10:00:00,10,12.0,CS,pre
2020-01-01 11:00:00,11,15.4,CS,pre
2020-01-01 12:00:00,12,16.0,CS,pre
2020-01-01 13:00:00,13,21.0,CS,pre
2020-01-01 14:00:00,14,26.4,CS,pre
2020-01-01 15:00:00,15,27.8,CS,pre
2020-01-01 16:00:00,16,26.6,CS,pre
2020-01-01 17:00:00,17,24.0,CS,pre
2020-01-01 18:00:00,18,20.4,CS,pre
2020-01-01 19:00:00,19,16.6,CS,pre
2020-01-01 20:00:00,20,13.2,CS,pre
2020-01-01 21:00:00,21,11.4,CS,pre
2020-01-01 22:00:00,22,10.0,CS,pre
2020-01-01 23:00:00,23,8.4,CS,pre
2020-01-02 00:00:00,0,7.4,CS,pre
2020-01-02 01:00:00,1,7.6,CS,pre
2020-01-02 02:00:00,2,8.6,CS,pre
2020-01-02 03:00:00,3,9.2,CS,pre
2020-01-02 04:00:00,4,9.2,CS,pre
2020-01-02 05:00:00,5,8.8,CS,pre
2020-01-02 06:00:00,6,8.8,CS,pre
2020-01-02 07:00:00,7,7.8,CS,pre
2020-01-02 08:00:00,8,6.0,CS,pre
2020-01-02 09:00:00,9,6.0,CS,pre
2020-01-02 10:00:00,10,9.0,CS,pre
2020-01-02 11:00:00,11,14.6,CS,pre
2020-01-02 12:00:00,12,18.4,CS,pre
2020-01-02 13:00:00,13,22.0,CS,pre
2020-01-02 14:00:00,14,22.4,CS,pre
2020-01-02 15:00:00,15,24.4,CS,pre
2020-01-02 16:00:00,16,24.8,CS,pre
2020-01-02 17:00:00,17,24.0,CS,pre
2020-01-02 18:00:00,18,19.4,CS,pre
2020-01-02 19:00:00,19,15.4,CS,pre
2020-01-02 20:00:00,20,12.0,CS,pre
2020-01-02 21:00:00,21,11.0,CS,pre
2020-01-02 22:00:00,22,8.2,CS,pre
2020-01-02 23:00:00,23,8.4,CS,pre
2020-01-03 00:00:00,0,7.8,CS,pre
2020-01-03 01:00:00,1,7.4,CS,pre
2020-01-03 02:00:00,2,6.8,CS,pre
2020-01-03 03:00:00,3,7.6,CS,pre
2020-01-03 04:00:00,4,7.4,CS,pre
2020-01-03 05:00:00,5,7.6,CS,pre
2020-01-03 06:00:00,6,8.6,CS,pre
2020-01-03 07:00:00,7,8.6,CS,pre
2020-01-03 08:00:00,8,7.4,CS,pre
2020-01-03 09:00:00,9,6.2,CS,pre
