Time,Time,value,area,kind,period
2020-04-01 00:00:00,0,40.4,CS,O3,l3
2020-04-01 01:00:00,1,43.2,CS,O3,l3
2020-04-01 02:00:00,2,46.0,CS,O3,l3
2020-04-01 03:00:00,3,40.4,CS,O3,l3
2020-04-01 04:00:00,4,37.4,CS,O3,l3
2020-04-01 05:00:00,5,38.6,CS,O3,l3
2020-04-01 06:00:00,6,38.0,CS,O3,l3
2020-04-01 07:00:00,7,37.2,CS,O3,l3
2020-04-01 08:00:00,8,35.2,CS,O3,l3
2020-04-01 09:00:00,9,37.4,CS,O3,l3
2020-04-01 10:00:00,10,50.8,CS,O3,l3
2020-04-01 11:00:00,11,58.6,CS,O3,l3
2020-04-01 12:00:00,12,68.8,CS,O3,l3
2020-04-01 13:00:00,13,79.2,CS,O3,l3
2020-04-01 14:00:00,14,84.4,CS,O3,l3
2020-04-01 15:00:00,15,86.6,CS,O3,l3
2020-04-01 16:00:00,16,86.4,CS,O3,l3
2020-04-01 17:00:00,17,82.4,CS,O3,l3
2020-04-01 18:00:00,18,77.6,CS,O3,l3
2020-04-01 19:00:00,19,72.0,CS,O3,l3
2020-04-01 20:00:00,20,64.2,CS,O3,l3
2020-04-01 21:00:00,21,56.8,CS,O3,l3
2020-04-01 22:00:00,22,48.8,CS,O3,l3
2020-04-01 23:00:00,23,38.8,CS,O3,l3
2020-04-02 00:00:00,0,32.4,CS,O3,l3
2020-04-02 01:00:00,1,36.2,CS,O3,l3
2020-04-02 02:00:00,2,41.2,CS,O3,l3
2020-04-02 03:00:00,3,47.2,CS,O3,l3
2020-04-02 04:00:00,4,47.6,CS,O3,l3
2020-04-02 05:00:00,5,44.2,CS,O3,l3
2020-04-02 06:00:00,6,42.0,CS,O3,l3
2020-04-02 07:00:00,7,44.4,CS,O3,l3
2020-04-02 08:00:00,8,39.0,CS,O3,l3
2020-04-02 09:00:00,9,37.6,CS,O3,l3
2020-04-02 10:00:00,10,43.6,CS,O3,l3
2020-04-02 11:00:00,11,46.0,CS,O3,l3
2020-04-02 12:00:00,12,52.6,CS,O3,l3
2020-04-02 13:00:00,13,58.4,CS,O3,l3
2020-04-02 14:00:00,14,63.2,CS,O3,l3
2020-04-02 15:00:00,15,64.4,CS,O3,l3
2020-04-02 16:00:00,16,65.6,CS,O3,l3
2020-04-02 17:00:00,17,63.4,CS,O3,l3
2020-04-02 18:00:00,18,61.8,CS,O3,l3
2020-04-02 19:00:00,19,60.2,CS,O3,l3
2020-04-02 20:00:00,20,55.8,CS,O3,l3
2020-04-02 21:00:00,21,56.0,CS,O3,l3
2020-04-02 22:00:00,22,52.2,CS,O3,l3
2020-04-02 23:00:00,23,49.4,CS,O3,l3
2020-04-03 00:00:00,0,48.2,CS,O3,l3
2020-04-03 01:00:00,1,45.8,CS,O3,l3
2020-04-03 02:00:00,2,43.6,CS,O3,l3
2020-04-03 03:00:00,3,40.6,CS,O3,l3
2020-04-03 04:00:00,4,47.0,CS,O3,l3
2020-04-03 05:00:00,5,48.8,CS,O3,l3
2020-04-03 06:00:00,6,45.8,CS,O3,l3
2020-04-03 07:00:00,7,41.6,CS,O3,l3
2020-04-03 08:00:00,8,34.0,CS,O3,l3
2020-04-03 09:00:00,9,36.0,CS,O3,l3
2020-04-03 10:00:00,10,41.6,CS,O3,l3
2020-04-03 11:00:00,11,49.2,CS,O3,l3
2020-04-03 12:00:00,12,56.8,CS,O3,l3
2020-04-03 13:00:00,13,64.0,CS,O3,l3
2020-04-03 14:00:00,14,70.4,CS,O3,l3
2020-04-03 15:00:00,15,73.4,CS,O3,l3
2020-04-03 16:00:00,16,75.8,CS,O3,l3
2020-04-03 17:00:00,17,75.4,CS,O3,l3
2020-04-03 18:00:00,18,73.4,CS,O3,l3
2020-04-03 19:00:00,19,71.6,CS,O3,l3
2020-04-03 20:00:00,20,70.8,CS,O3,l3
2020-04-03 21:00:00,21,70.0,CS,O3,l3
2020-04-03 22:00:00,22,66.6,CS,O3,l3
2020-04-03 23:00:00,23,56.2,CS,O3,l3
2020-04-04 00:00:00,0,52.8,CS,O3,l3
2020-04-04 01:00:00,1,49.4,CS,O3,l3
2020-04-04 02:00:00,2,46.4,CS,O3,l3
2020-04-04 03:00:00,3,39.0,CS,O3,l3
2020-04-04 04:00:00,4,34.6,CS,O3,l3
2020-04-04 05:00:00,5,33.2,CS,O3,l3
2020-04-04 06:00:00,6,31.8,CS,O3,l3
2020-04-04 07:00:00,7,31.6,CS,O3,l3
2020-04-04 08:00:00,8,32.0,CS,O3,l3
2020-04-04 09:00:00,9,36.4,CS,O3,l3
2020-04-04 10:00:00,10,43.8,CS,O3,l3
2020-04-04 11:00:00,11,58.8,CS,O3,l3
2020-04-04 12:00:00,12,77.0,CS,O3,l3
2020-04-04 13:00:00,13,87.4,CS,O3,l3
2020-04-04 14:00:00,14,93.4,CS,O3,l3
2020-04-04 15:00:00,15,95.2,CS,O3,l3
2020-04-04 16:00:00,16,97.0,CS,O3,l3
2020-04-04 17:00:00,17,99.2,CS,O3,l3
2020-04-04 18:00:00,18,96.6,CS,O3,l3
2020-04-04 19:00:00,19,90.8,CS,O3,l3
