Time,Time,value,area,kind,period
2020-01-24 00:00:00,0,70.8,CS,PM10,l1
2020-01-24 01:00:00,1,68.0,CS,PM10,l1
2020-01-24 02:00:00,2,66.0,CS,PM10,l1
2020-01-24 03:00:00,3,59.6,CS,PM10,l1
2020-01-24 04:00:00,4,51.8,CS,PM10,l1
2020-01-24 05:00:00,5,47.2,CS,PM10,l1
2020-01-24 06:00:00,6,47.4,CS,PM10,l1
2020-01-24 07:00:00,7,45.6,CS,PM10,l1
2020-01-24 08:00:00,8,45.8,CS,PM10,l1
2020-01-24 09:00:00,9,48.6,CS,PM10,l1
2020-01-24 10:00:00,10,47.2,CS,PM10,l1
2020-01-24 11:00:00,11,45.4,CS,PM10,l1
2020-01-24 12:00:00,12,44.0,CS,PM10,l1
2020-01-24 13:00:00,13,40.8,CS,PM10,l1
2020-01-24 14:00:00,14,37.0,CS,PM10,l1
2020-01-24 15:00:00,15,35.6,CS,PM10,l1
2020-01-24 16:00:00,16,35.6,CS,PM10,l1
2020-01-24 17:00:00,17,35.0,CS,PM10,l1
2020-01-24 18:00:00,18,37.0,CS,PM10,l1
2020-01-24 19:00:00,19,35.0,CS,PM10,l1
2020-01-24 20:00:00,20,36.8,CS,PM10,l1
2020-01-24 21:00:00,21,38.2,CS,PM10,l1
2020-01-24 22:00:00,22,37.8,CS,PM10,l1
2020-01-24 23:00:00,23,37.8,CS,PM10,l1
2020-01-25 00:00:00,0,36.6,CS,PM10,l1
2020-01-25 01:00:00,1,47.8,CS,PM10,l1
2020-01-25 02:00:00,2,54.0,CS,PM10,l1
2020-01-25 03:00:00,3,50.0,CS,PM10,l1
2020-01-25 04:00:00,4,49.0,CS,PM10,l1
2020-01-25 05:00:00,5,50.6,CS,PM10,l1
2020-01-25 06:00:00,6,53.2,CS,PM10,l1
2020-01-25 07:00:00,7,54.0,CS,PM10,l1
2020-01-25 08:00:00,8,52.2,CS,PM10,l1
2020-01-25 09:00:00,9,48.8,CS,PM10,l1
2020-01-25 10:00:00,10,46.4,CS,PM10,l1
2020-01-25 11:00:00,11,47.8,CS,PM10,l1
2020-01-25 12:00:00,12,45.8,CS,PM10,l1
2020-01-25 13:00:00,13,44.0,CS,PM10,l1
2020-01-25 14:00:00,14,39.8,CS,PM10,l1
2020-01-25 15:00:00,15,35.0,CS,PM10,l1
2020-01-25 16:00:00,16,32.0,CS,PM10,l1
2020-01-25 17:00:00,17,31.0,CS,PM10,l1
2020-01-25 18:00:00,18,32.2,CS,PM10,l1
2020-01-25 19:00:00,19,32.8,CS,PM10,l1
2020-01-25 20:00:00,20,31.8,CS,PM10,l1
2020-01-25 21:00:00,21,33.4,CS,PM10,l1
2020-01-25 22:00:00,22,34.8,CS,PM10,l1
2020-01-25 23:00:00,23,33.8,CS,PM10,l1
2020-01-26 00:00:00,0,31.4,CS,PM10,l1
2020-01-26 01:00:00,1,30.8,CS,PM10,l1
2020-01-26 02:00:00,2,30.4,CS,PM10,l1
2020-01-26 03:00:00,3,30.2,CS,PM10,l1
2020-01-26 04:00:00,4,31.8,CS,PM10,l1
2020-01-26 05:00:00,5,34.8,CS,PM10,l1
2020-01-26 06:00:00,6,33.8,CS,PM10,l1
2020-01-26 07:00:00,7,35.2,CS,PM10,l1
2020-01-26 08:00:00,8,40.2,CS,PM10,l1
2020-01-26 09:00:00,9,41.4,CS,PM10,l1
2020-01-26 10:00:00,10,43.6,CS,PM10,l1
2020-01-26 11:00:00,11,44.0,CS,PM10,l1
2020-01-26 12:00:00,12,41.2,CS,PM10,l1
2020-01-26 13:00:00,13,38.6,CS,PM10,l1
2020-01-26 14:00:00,14,35.8,CS,PM10,l1
2020-01-26 15:00:00,15,34.6,CS,PM10,l1
2020-01-26 16:00:00,16,35.0,CS,PM10,l1
2020-01-26 17:00:00,17,35.0,CS,PM10,l1
2020-01-26 18:00:00,18,35.4,CS,PM10,l1
2020-01-26 19:00:00,19,38.6,CS,PM10,l1
2020-01-26 20:00:00,20,43.8,CS,PM10,l1
2020-01-26 21:00:00,21,46.4,CS,PM10,l1
2020-01-26 22:00:00,22,50.4,CS,PM10,l1
2020-01-26 23:00:00,23,48.8,CS,PM10,l1
2020-01-27 00:00:00,0,47.6,CS,PM10,l1
2020-01-27 01:00:00,1,44.0,CS,PM10,l1
2020-01-27 02:00:00,2,41.8,CS,PM10,l1
2020-01-27 03:00:00,3,40.0,CS,PM10,l1
2020-01-27 04:00:00,4,40.0,CS,PM10,l1
2020-01-27 05:00:00,5,41.6,CS,PM10,l1
2020-01-27 06:00:00,6,40.8,CS,PM10,l1
2020-01-27 07:00:00,7,42.4,CS,PM10,l1
2020-01-27 08:00:00,8,43.6,CS,PM10,l1
2020-01-27 09:00:00,9,42.4,CS,PM10,l1
2020-01-27 10:00:00,10,43.6,CS,PM10,l1
2020-01-27 11:00:00,11,43.4,CS,PM10,l1
2020-01-27 12:00:00,12,40.0,CS,PM10,l1
2020-01-27 13:00:00,13,36.8,CS,PM10,l1
2020-01-27 14:00:00,14,37.4,CS,PM10,l1
2020-01-27 15:00:00,15,36.4,CS,PM10,l1
2020-01-27 16:00:00,16,35.8,CS,PM10,l1
2020-01-27 17:00:00,17,34.8,CS,PM10,l1
2020-01-27 18:00:00,18,35.0,CS,PM10,l1
2020-01-27 19:00:00,19,38.2,CS,PM10,l1
2020-01-27 20:00:00,20,40.4,CS,PM10,l1
2020-01-27 21:00:00,21,44.6,CS,PM10,l1
2020-01-27 22:00:00,22,44.0,CS,PM10,l1
2020-01-27 23:00:00,23,42.8,CS,PM10,l1
2020-01-28 00:00:00,0,43.2,CS,PM10,l1
2020-01-28 01:00:00,1,42.4,CS,PM10,l1
2020-01-28 02:00:00,2,43.0,CS,PM10,l1
2020-01-28 03:00:00,3,42.6,CS,PM10,l1
2020-01-28 04:00:00,4,43.4,CS,PM10,l1
2020-01-28 05:00:00,5,43.2,CS,PM10,l1
2020-01-28 06:00:00,6,42.8,CS,PM10,l1
2020-01-28 07:00:00,7,42.8,CS,PM10,l1
2020-01-28 08:00:00,8,43.4,CS,PM10,l1
2020-01-28 09:00:00,9,43.6,CS,PM10,l1
2020-01-28 10:00:00,10,44.6,CS,PM10,l1
2020-01-28 11:00:00,11,45.2,CS,PM10,l1
2020-01-28 12:00:00,12,41.0,CS,PM10,l1
2020-01-28 13:00:00,13,41.0,CS,PM10,l1
2020-01-28 14:00:00,14,36.4,CS,PM10,l1
2020-01-28 15:00:00,15,35.6,CS,PM10,l1
2020-01-28 16:00:00,16,39.4,CS,PM10,l1
2020-01-28 17:00:00,17,36.6,CS,PM10,l1
2020-01-28 18:00:00,18,37.8,CS,PM10,l1
2020-01-28 19:00:00,19,41.6,CS,PM10,l1
2020-01-28 20:00:00,20,44.4,CS,PM10,l1
2020-01-28 21:00:00,21,48.8,CS,PM10,l1
2020-01-28 22:00:00,22,49.8,CS,PM10,l1
2020-01-28 23:00:00,23,52.2,CS,PM10,l1
2020-01-29 00:00:00,0,52.2,CS,PM10,l1
2020-01-29 01:00:00,1,49.0,CS,PM10,l1
2020-01-29 02:00:00,2,51.0,CS,PM10,l1
2020-01-29 03:00:00,3,50.6,CS,PM10,l1
2020-01-29 04:00:00,4,50.2,CS,PM10,l1
2020-01-29 05:00:00,5,50.6,CS,PM10,l1
2020-01-29 06:00:00,6,49.8,CS,PM10,l1
2020-01-29 07:00:00,7,49.4,CS,PM10,l1
2020-01-29 08:00:00,8,48.2,CS,PM10,l1
2020-01-29 09:00:00,9,47.6,CS,PM10,l1
2020-01-29 10:00:00,10,47.8,CS,PM10,l1
2020-01-29 11:00:00,11,47.2,CS,PM10,l1
2020-01-29 12:00:00,12,41.4,CS,PM10,l1
2020-01-29 13:00:00,13,38.4,CS,PM10,l1
2020-01-29 14:00:00,14,35.4,CS,PM10,l1
2020-01-29 15:00:00,15,36.4,CS,PM10,l1
2020-01-29 16:00:00,16,33.4,CS,PM10,l1
2020-01-29 17:00:00,17,32.0,CS,PM10,l1
2020-01-29 18:00:00,18,36.6,CS,PM10,l1
2020-01-29 19:00:00,19,39.8,CS,PM10,l1
2020-01-29 20:00:00,20,43.4,CS,PM10,l1
2020-01-29 21:00:00,21,47.6,CS,PM10,l1
2020-01-29 22:00:00,22,51.2,CS,PM10,l1
2020-01-29 23:00:00,23,51.6,CS,PM10,l1
2020-01-30 00:00:00,0,51.2,CS,PM10,l1
2020-01-30 01:00:00,1,52.0,CS,PM10,l1
2020-01-30 02:00:00,2,53.4,CS,PM10,l1
2020-01-30 03:00:00,3,54.2,CS,PM10,l1
2020-01-30 04:00:00,4,56.0,CS,PM10,l1
2020-01-30 05:00:00,5,55.6,CS,PM10,l1
2020-01-30 06:00:00,6,54.0,CS,PM10,l1
2020-01-30 07:00:00,7,54.6,CS,PM10,l1
2020-01-30 08:00:00,8,54.4,CS,PM10,l1
2020-01-30 09:00:00,9,57.0,CS,PM10,l1
2020-01-30 10:00:00,10,55.6,CS,PM10,l1
2020-01-30 11:00:00,11,55.4,CS,PM10,l1
2020-01-30 12:00:00,12,53.2,CS,PM10,l1
2020-01-30 13:00:00,13,50.2,CS,PM10,l1
2020-01-30 14:00:00,14,46.8,CS,PM10,l1
2020-01-30 15:00:00,15,48.4,CS,PM10,l1
2020-01-30 16:00:00,16,43.8,CS,PM10,l1
2020-01-30 17:00:00,17,43.0,CS,PM10,l1
2020-01-30 18:00:00,18,43.4,CS,PM10,l1
2020-01-30 19:00:00,19,48.0,CS,PM10,l1
2020-01-30 20:00:00,20,52.0,CS,PM10,l1
2020-01-30 21:00:00,21,54.8,CS,PM10,l1
2020-01-30 22:00:00,22,57.6,CS,PM10,l1
2020-01-30 23:00:00,23,58.2,CS,PM10,l1
2020-01-31 00:00:00,0,58.0,CS,PM10,l1
2020-01-31 01:00:00,1,59.4,CS,PM10,l1
2020-01-31 02:00:00,2,58.4,CS,PM10,l1
2020-01-31 03:00:00,3,58.2,CS,PM10,l1
2020-01-31 04:00:00,4,56.6,CS,PM10,l1
2020-01-31 05:00:00,5,56.2,CS,PM10,l1
2020-01-31 06:00:00,6,58.2,CS,PM10,l1
2020-01-31 07:00:00,7,59.8,CS,PM10,l1
2020-01-31 08:00:00,8,60.2,CS,PM10,l1
2020-01-31 09:00:00,9,60.0,CS,PM10,l1
2020-01-31 10:00:00,10,59.0,CS,PM10,l1
2020-01-31 11:00:00,11,59.4,CS,PM10,l1
2020-01-31 12:00:00,12,57.4,CS,PM10,l1
2020-01-31 13:00:00,13,51.4,CS,PM10,l1
2020-01-31 14:00:00,14,50.0,CS,PM10,l1
2020-01-31 15:00:00,15,46.8,CS,PM10,l1
2020-01-31 16:00:00,16,45.6,CS,PM10,l1
2020-01-31 17:00:00,17,45.8,CS,PM10,l1
2020-01-31 18:00:00,18,47.4,CS,PM10,l1
2020-01-31 19:00:00,19,50.0,CS,PM10,l1
2020-01-31 20:00:00,20,53.0,CS,PM10,l1
2020-01-31 21:00:00,21,55.0,CS,PM10,l1
2020-01-31 22:00:00,22,58.6,CS,PM10,l1
2020-01-31 23:00:00,23,59.8,CS,PM10,l1
2020-02-01 00:00:00,0,58.2,CS,PM10,l1
2020-02-01 01:00:00,1,56.0,CS,PM10,l1
2020-02-01 02:00:00,2,56.8,CS,PM10,l1
2020-02-01 03:00:00,3,56.0,CS,PM10,l1
2020-02-01 04:00:00,4,55.8,CS,PM10,l1
2020-02-01 05:00:00,5,53.6,CS,PM10,l1
2020-02-01 06:00:00,6,55.4,CS,PM10,l1
2020-02-01 07:00:00,7,54.8,CS,PM10,l1
2020-02-01 08:00:00,8,55.8,CS,PM10,l1
2020-02-01 09:00:00,9,55.6,CS,PM10,l1
2020-02-01 10:00:00,10,54.8,CS,PM10,l1
2020-02-01 11:00:00,11,51.8,CS,PM10,l1
2020-02-01 12:00:00,12,48.8,CS,PM10,l1
2020-02-01 13:00:00,13,44.2,CS,PM10,l1
2020-02-01 14:00:00,14,42.0,CS,PM10,l1
2020-02-01 15:00:00,15,41.4,CS,PM10,l1
2020-02-01 16:00:00,16,43.8,CS,PM10,l1
2020-02-01 17:00:00,17,45.4,CS,PM10,l1
2020-02-01 18:00:00,18,45.6,CS,PM10,l1
2020-02-01 19:00:00,19,49.0,CS,PM10,l1
2020-02-01 20:00:00,20,53.4,CS,PM10,l1
2020-02-01 21:00:00,21,54.6,CS,PM10,l1
2020-02-01 22:00:00,22,57.2,CS,PM10,l1
2020-02-01 23:00:00,23,58.8,CS,PM10,l1
2020-02-02 00:00:00,0,59.6,CS,PM10,l1
2020-02-02 01:00:00,1,62.8,CS,PM10,l1
2020-02-02 02:00:00,2,62.0,CS,PM10,l1
2020-02-02 03:00:00,3,61.8,CS,PM10,l1
2020-02-02 04:00:00,4,62.8,CS,PM10,l1
2020-02-02 05:00:00,5,61.8,CS,PM10,l1
2020-02-02 06:00:00,6,59.6,CS,PM10,l1
2020-02-02 07:00:00,7,59.0,CS,PM10,l1
2020-02-02 08:00:00,8,59.8,CS,PM10,l1
2020-02-02 09:00:00,9,60.8,CS,PM10,l1
2020-02-02 10:00:00,10,58.8,CS,PM10,l1
2020-02-02 11:00:00,11,,CS,PM10,l1
2020-02-02 12:00:00,12,57.2,CS,PM10,l1
2020-02-02 13:00:00,13,53.8,CS,PM10,l1
2020-02-02 14:00:00,14,48.2,CS,PM10,l1
2020-02-02 15:00:00,15,44.4,CS,PM10,l1
2020-02-02 16:00:00,16,44.4,CS,PM10,l1
2020-02-02 17:00:00,17,45.8,CS,PM10,l1
2020-02-02 18:00:00,18,46.8,CS,PM10,l1
2020-02-02 19:00:00,19,52.8,CS,PM10,l1
2020-02-02 20:00:00,20,53.6,CS,PM10,l1
2020-02-02 21:00:00,21,53.8,CS,PM10,l1
2020-02-02 22:00:00,22,52.8,CS,PM10,l1
2020-02-02 23:00:00,23,52.0,CS,PM10,l1
2020-02-03 00:00:00,0,52.2,CS,PM10,l1
2020-02-03 01:00:00,1,52.0,CS,PM10,l1
2020-02-03 02:00:00,2,52.6,CS,PM10,l1
2020-02-03 03:00:00,3,51.6,CS,PM10,l1
2020-02-03 04:00:00,4,48.8,CS,PM10,l1
2020-02-03 05:00:00,5,47.4,CS,PM10,l1
2020-02-03 06:00:00,6,46.2,CS,PM10,l1
2020-02-03 07:00:00,7,47.0,CS,PM10,l1
2020-02-03 08:00:00,8,47.8,CS,PM10,l1
2020-02-03 09:00:00,9,45.8,CS,PM10,l1
2020-02-03 10:00:00,10,46.4,CS,PM10,l1
2020-02-03 11:00:00,11,47.2,CS,PM10,l1
2020-02-03 12:00:00,12,47.0,CS,PM10,l1
2020-02-03 13:00:00,13,44.2,CS,PM10,l1
2020-02-03 14:00:00,14,45.0,CS,PM10,l1
2020-02-03 15:00:00,15,46.2,CS,PM10,l1
2020-02-03 16:00:00,16,46.4,CS,PM10,l1
2020-02-03 17:00:00,17,45.8,CS,PM10,l1
2020-02-03 18:00:00,18,45.2,CS,PM10,l1
2020-02-03 19:00:00,19,46.0,CS,PM10,l1
2020-02-03 20:00:00,20,48.4,CS,PM10,l1
2020-02-03 21:00:00,21,48.8,CS,PM10,l1
2020-02-03 22:00:00,22,51.2,CS,PM10,l1
2020-02-03 23:00:00,23,50.6,CS,PM10,l1
2020-02-04 00:00:00,0,48.4,CS,PM10,l1
2020-02-04 01:00:00,1,46.8,CS,PM10,l1
2020-02-04 02:00:00,2,47.4,CS,PM10,l1
2020-02-04 03:00:00,3,47.8,CS,PM10,l1
2020-02-04 04:00:00,4,48.2,CS,PM10,l1
2020-02-04 05:00:00,5,51.2,CS,PM10,l1
2020-02-04 06:00:00,6,51.8,CS,PM10,l1
2020-02-04 07:00:00,7,52.8,CS,PM10,l1
2020-02-04 08:00:00,8,52.8,CS,PM10,l1
2020-02-04 09:00:00,9,54.4,CS,PM10,l1
2020-02-04 10:00:00,10,54.2,CS,PM10,l1
2020-02-04 11:00:00,11,52.0,CS,PM10,l1
2020-02-04 12:00:00,12,48.2,CS,PM10,l1
2020-02-04 13:00:00,13,42.2,CS,PM10,l1
2020-02-04 14:00:00,14,38.4,CS,PM10,l1
2020-02-04 15:00:00,15,36.0,CS,PM10,l1
2020-02-04 16:00:00,16,33.4,CS,PM10,l1
2020-02-04 17:00:00,17,32.0,CS,PM10,l1
2020-02-04 18:00:00,18,35.4,CS,PM10,l1
2020-02-04 19:00:00,19,38.8,CS,PM10,l1
2020-02-04 20:00:00,20,45.0,CS,PM10,l1
2020-02-04 21:00:00,21,48.2,CS,PM10,l1
2020-02-04 22:00:00,22,49.0,CS,PM10,l1
2020-02-04 23:00:00,23,50.0,CS,PM10,l1
2020-02-05 00:00:00,0,52.4,CS,PM10,l1
