Time,Time,value,area,kind,period
2020-01-24 00:00:00,0,62.0,CS,PM2.5,l1
2020-01-24 01:00:00,1,60.0,CS,PM2.5,l1
2020-01-24 02:00:00,2,57.8,CS,PM2.5,l1
2020-01-24 03:00:00,3,52.0,CS,PM2.5,l1
2020-01-24 04:00:00,4,46.4,CS,PM2.5,l1
2020-01-24 05:00:00,5,43.8,CS,PM2.5,l1
2020-01-24 06:00:00,6,41.2,CS,PM2.5,l1
2020-01-24 07:00:00,7,38.2,CS,PM2.5,l1
2020-01-24 08:00:00,8,38.4,CS,PM2.5,l1
2020-01-24 09:00:00,9,40.0,CS,PM2.5,l1
2020-01-24 10:00:00,10,40.6,CS,PM2.5,l1
2020-01-24 11:00:00,11,39.6,CS,PM2.5,l1
2020-01-24 12:00:00,12,38.0,CS,PM2.5,l1
2020-01-24 13:00:00,13,35.0,CS,PM2.5,l1
2020-01-24 14:00:00,14,32.2,CS,PM2.5,l1
2020-01-24 15:00:00,15,30.2,CS,PM2.5,l1
2020-01-24 16:00:00,16,30.8,CS,PM2.5,l1
2020-01-24 17:00:00,17,29.8,CS,PM2.5,l1
2020-01-24 18:00:00,18,27.6,CS,PM2.5,l1
2020-01-24 19:00:00,19,27.2,CS,PM2.5,l1
2020-01-24 20:00:00,20,28.4,CS,PM2.5,l1
2020-01-24 21:00:00,21,29.4,CS,PM2.5,l1
2020-01-24 22:00:00,22,30.4,CS,PM2.5,l1
2020-01-24 23:00:00,23,33.2,CS,PM2.5,l1
2020-01-25 00:00:00,0,35.8,CS,PM2.5,l1
2020-01-25 01:00:00,1,44.8,CS,PM2.5,l1
2020-01-25 02:00:00,2,45.0,CS,PM2.5,l1
2020-01-25 03:00:00,3,47.4,CS,PM2.5,l1
2020-01-25 04:00:00,4,47.8,CS,PM2.5,l1
2020-01-25 05:00:00,5,46.0,CS,PM2.5,l1
2020-01-25 06:00:00,6,46.0,CS,PM2.5,l1
2020-01-25 07:00:00,7,47.0,CS,PM2.5,l1
2020-01-25 08:00:00,8,44.0,CS,PM2.5,l1
2020-01-25 09:00:00,9,43.0,CS,PM2.5,l1
2020-01-25 10:00:00,10,42.2,CS,PM2.5,l1
2020-01-25 11:00:00,11,44.0,CS,PM2.5,l1
2020-01-25 12:00:00,12,46.4,CS,PM2.5,l1
2020-01-25 13:00:00,13,45.0,CS,PM2.5,l1
2020-01-25 14:00:00,14,40.8,CS,PM2.5,l1
2020-01-25 15:00:00,15,36.8,CS,PM2.5,l1
2020-01-25 16:00:00,16,34.8,CS,PM2.5,l1
2020-01-25 17:00:00,17,34.4,CS,PM2.5,l1
2020-01-25 18:00:00,18,33.8,CS,PM2.5,l1
2020-01-25 19:00:00,19,34.0,CS,PM2.5,l1
2020-01-25 20:00:00,20,32.6,CS,PM2.5,l1
2020-01-25 21:00:00,21,31.6,CS,PM2.5,l1
2020-01-25 22:00:00,22,32.6,CS,PM2.5,l1
2020-01-25 23:00:00,23,32.8,CS,PM2.5,l1
2020-01-26 00:00:00,0,32.0,CS,PM2.5,l1
2020-01-26 01:00:00,1,30.0,CS,PM2.5,l1
2020-01-26 02:00:00,2,29.6,CS,PM2.5,l1
2020-01-26 03:00:00,3,31.0,CS,PM2.5,l1
2020-01-26 04:00:00,4,31.6,CS,PM2.5,l1
2020-01-26 05:00:00,5,33.6,CS,PM2.5,l1
2020-01-26 06:00:00,6,33.4,CS,PM2.5,l1
2020-01-26 07:00:00,7,34.6,CS,PM2.5,l1
2020-01-26 08:00:00,8,37.2,CS,PM2.5,l1
2020-01-26 09:00:00,9,39.2,CS,PM2.5,l1
2020-01-26 10:00:00,10,42.4,CS,PM2.5,l1
2020-01-26 11:00:00,11,43.2,CS,PM2.5,l1
2020-01-26 12:00:00,12,41.4,CS,PM2.5,l1
2020-01-26 13:00:00,13,39.6,CS,PM2.5,l1
2020-01-26 14:00:00,14,37.6,CS,PM2.5,l1
2020-01-26 15:00:00,15,37.0,CS,PM2.5,l1
2020-01-26 16:00:00,16,35.6,CS,PM2.5,l1
2020-01-26 17:00:00,17,34.0,CS,PM2.5,l1
2020-01-26 18:00:00,18,34.2,CS,PM2.5,l1
2020-01-26 19:00:00,19,37.0,CS,PM2.5,l1
2020-01-26 20:00:00,20,41.0,CS,PM2.5,l1
2020-01-26 21:00:00,21,43.6,CS,PM2.5,l1
2020-01-26 22:00:00,22,43.2,CS,PM2.5,l1
2020-01-26 23:00:00,23,43.2,CS,PM2.5,l1
2020-01-27 00:00:00,0,42.6,CS,PM2.5,l1
2020-01-27 01:00:00,1,42.4,CS,PM2.5,l1
2020-01-27 02:00:00,2,40.4,CS,PM2.5,l1
2020-01-27 03:00:00,3,38.8,CS,PM2.5,l1
2020-01-27 04:00:00,4,38.8,CS,PM2.5,l1
2020-01-27 05:00:00,5,39.4,CS,PM2.5,l1
2020-01-27 06:00:00,6,39.8,CS,PM2.5,l1
2020-01-27 07:00:00,7,42.0,CS,PM2.5,l1
2020-01-27 08:00:00,8,41.4,CS,PM2.5,l1
2020-01-27 09:00:00,9,41.0,CS,PM2.5,l1
2020-01-27 10:00:00,10,41.0,CS,PM2.5,l1
2020-01-27 11:00:00,11,41.0,CS,PM2.5,l1
2020-01-27 12:00:00,12,40.0,CS,PM2.5,l1
2020-01-27 13:00:00,13,39.2,CS,PM2.5,l1
2020-01-27 14:00:00,14,38.0,CS,PM2.5,l1
2020-01-27 15:00:00,15,36.2,CS,PM2.5,l1
2020-01-27 16:00:00,16,34.6,CS,PM2.5,l1
2020-01-27 17:00:00,17,34.4,CS,PM2.5,l1
2020-01-27 18:00:00,18,35.2,CS,PM2.5,l1
2020-01-27 19:00:00,19,37.4,CS,PM2.5,l1
2020-01-27 20:00:00,20,38.4,CS,PM2.5,l1
2020-01-27 21:00:00,21,39.4,CS,PM2.5,l1
2020-01-27 22:00:00,22,39.8,CS,PM2.5,l1
2020-01-27 23:00:00,23,40.0,CS,PM2.5,l1
2020-01-28 00:00:00,0,40.8,CS,PM2.5,l1
2020-01-28 01:00:00,1,41.4,CS,PM2.5,l1
