Time,Time,value,area,kind,period
2020-01-01 00:00:00,0,64.0,CS,PM2.5,pre
2020-01-01 01:00:00,1,63.8,CS,PM2.5,pre
2020-01-01 02:00:00,2,63.0,CS,PM2.5,pre
2020-01-01 03:00:00,3,64.4,CS,PM2.5,pre
2020-01-01 04:00:00,4,60.8,CS,PM2.5,pre
2020-01-01 05:00:00,5,61.0,CS,PM2.5,pre
2020-01-01 06:00:00,6,62.4,CS,PM2.5,pre
2020-01-01 07:00:00,7,59.6,CS,PM2.5,pre
2020-01-01 08:00:00,8,58.2,CS,PM2.5,pre
2020-01-01 09:00:00,9,59.4,CS,PM2.5,pre
2020-01-01 10:00:00,10,60.0,CS,PM2.5,pre
2020-01-01 11:00:00,11,59.8,CS,PM2.5,pre
2020-01-01 12:00:00,12,60.8,CS,PM2.5,pre
2020-01-01 13:00:00,13,60.8,CS,PM2.5,pre
2020-01-01 14:00:00,14,58.2,CS,PM2.5,pre
2020-01-01 15:00:00,15,57.8,CS,PM2.5,pre
2020-01-01 16:00:00,16,59.2,CS,PM2.5,pre
2020-01-01 17:00:00,17,60.4,CS,PM2.5,pre
2020-01-01 18:00:00,18,62.6,CS,PM2.5,pre
2020-01-01 19:00:00,19,64.0,CS,PM2.5,pre
2020-01-01 20:00:00,20,65.2,CS,PM2.5,pre
2020-01-01 21:00:00,21,66.0,CS,PM2.5,pre
2020-01-01 22:00:00,22,68.6,CS,PM2.5,pre
2020-01-01 23:00:00,23,68.4,CS,PM2.5,pre
2020-01-02 00:00:00,0,67.8,CS,PM2.5,pre
2020-01-02 01:00:00,1,66.8,CS,PM2.5,pre
2020-01-02 02:00:00,2,67.2,CS,PM2.5,pre
2020-01-02 03:00:00,3,67.6,CS,PM2.5,pre
2020-01-02 04:00:00,4,67.2,CS,PM2.5,pre
2020-01-02 05:00:00,5,64.4,CS,PM2.5,pre
2020-01-02 06:00:00,6,60.2,CS,PM2.5,pre
2020-01-02 07:00:00,7,58.4,CS,PM2.5,pre
2020-01-02 08:00:00,8,59.8,CS,PM2.5,pre
2020-01-02 09:00:00,9,61.0,CS,PM2.5,pre
2020-01-02 10:00:00,10,63.4,CS,PM2.5,pre
2020-01-02 11:00:00,11,65.0,CS,PM2.5,pre
2020-01-02 12:00:00,12,67.4,CS,PM2.5,pre
2020-01-02 13:00:00,13,68.8,CS,PM2.5,pre
2020-01-02 14:00:00,14,69.4,CS,PM2.5,pre
2020-01-02 15:00:00,15,68.2,CS,PM2.5,pre
2020-01-02 16:00:00,16,67.0,CS,PM2.5,pre
2020-01-02 17:00:00,17,66.0,CS,PM2.5,pre
2020-01-02 18:00:00,18,68.2,CS,PM2.5,pre
2020-01-02 19:00:00,19,68.4,CS,PM2.5,pre
2020-01-02 20:00:00,20,69.6,CS,PM2.5,pre
2020-01-02 21:00:00,21,69.0,CS,PM2.5,pre
2020-01-02 22:00:00,22,68.8,CS,PM2.5,pre
2020-01-02 23:00:00,23,67.4,CS,PM2.5,pre
2020-01-03 00:00:00,0,67.8,CS,PM2.5,pre
2020-01-03 01:00:00,1,68.6,CS,PM2.5,pre
2020-01-03 02:00:00,2,67.8,CS,PM2.5,pre
2020-01-03 03:00:00,3,67.6,CS,PM2.5,pre
2020-01-03 04:00:00,4,67.2,CS,PM2.5,pre
2020-01-03 05:00:00,5,67.0,CS,PM2.5,pre
2020-01-03 06:00:00,6,67.0,CS,PM2.5,pre
2020-01-03 07:00:00,7,67.2,CS,PM2.5,pre
2020-01-03 08:00:00,8,68.4,CS,PM2.5,pre
2020-01-03 09:00:00,9,71.4,CS,PM2.5,pre
2020-01-03 10:00:00,10,76.0,CS,PM2.5,pre
2020-01-03 11:00:00,11,75.4,CS,PM2.5,pre
2020-01-03 12:00:00,12,72.0,CS,PM2.5,pre
2020-01-03 13:00:00,13,71.6,CS,PM2.5,pre
2020-01-03 14:00:00,14,69.2,CS,PM2.5,pre
2020-01-03 15:00:00,15,67.6,CS,PM2.5,pre
2020-01-03 16:00:00,16,65.0,CS,PM2.5,pre
2020-01-03 17:00:00,17,64.8,CS,PM2.5,pre
2020-01-03 18:00:00,18,65.0,CS,PM2.5,pre
2020-01-03 19:00:00,19,66.6,CS,PM2.5,pre
2020-01-03 20:00:00,20,71.4,CS,PM2.5,pre
