Time,Time,value,area,kind,period
2020-01-24 00:00:00,0,5.6,CS,SO2,l1
2020-01-24 01:00:00,1,5.8,CS,SO2,l1
2020-01-24 02:00:00,2,6.6,CS,SO2,l1
2020-01-24 03:00:00,3,6.6,CS,SO2,l1
2020-01-24 04:00:00,4,6.6,CS,SO2,l1
2020-01-24 05:00:00,5,6.8,CS,SO2,l1
2020-01-24 06:00:00,6,6.2,CS,SO2,l1
2020-01-24 07:00:00,7,6.8,CS,SO2,l1
2020-01-24 08:00:00,8,9.6,CS,SO2,l1
2020-01-24 09:00:00,9,10.0,CS,SO2,l1
2020-01-24 10:00:00,10,12.2,CS,SO2,l1
2020-01-24 11:00:00,11,7.8,CS,SO2,l1
2020-01-24 12:00:00,12,6.2,CS,SO2,l1
2020-01-24 13:00:00,13,5.6,CS,SO2,l1
2020-01-24 14:00:00,14,5.4,CS,SO2,l1
2020-01-24 15:00:00,15,4.8,CS,SO2,l1
2020-01-24 16:00:00,16,5.0,CS,SO2,l1
2020-01-24 17:00:00,17,5.6,CS,SO2,l1
2020-01-24 18:00:00,18,6.0,CS,SO2,l1
2020-01-24 19:00:00,19,6.2,CS,SO2,l1
2020-01-24 20:00:00,20,6.2,CS,SO2,l1
2020-01-24 21:00:00,21,5.4,CS,SO2,l1
2020-01-24 22:00:00,22,5.8,CS,SO2,l1
2020-01-24 23:00:00,23,6.6,CS,SO2,l1
2020-01-25 00:00:00,0,6.2,CS,SO2,l1
2020-01-25 01:00:00,1,9.4,CS,SO2,l1
2020-01-25 02:00:00,2,8.2,CS,SO2,l1
2020-01-25 03:00:00,3,6.0,CS,SO2,l1
2020-01-25 04:00:00,4,5.4,CS,SO2,l1
2020-01-25 05:00:00,5,5.4,CS,SO2,l1
2020-01-25 06:00:00,6,5.6,CS,SO2,l1
2020-01-25 07:00:00,7,5.6,CS,SO2,l1
2020-01-25 08:00:00,8,6.0,CS,SO2,l1
2020-01-25 09:00:00,9,6.4,CS,SO2,l1
2020-01-25 10:00:00,10,7.0,CS,SO2,l1
2020-01-25 11:00:00,11,6.6,CS,SO2,l1
2020-01-25 12:00:00,12,6.4,CS,SO2,l1
2020-01-25 13:00:00,13,5.6,CS,SO2,l1
2020-01-25 14:00:00,14,5.8,CS,SO2,l1
2020-01-25 15:00:00,15,5.6,CS,SO2,l1
2020-01-25 16:00:00,16,5.4,CS,SO2,l1
2020-01-25 17:00:00,17,5.2,CS,SO2,l1
2020-01-25 18:00:00,18,5.2,CS,SO2,l1
2020-01-25 19:00:00,19,5.4,CS,SO2,l1
2020-01-25 20:00:00,20,5.4,CS,SO2,l1
2020-01-25 21:00:00,21,5.4,CS,SO2,l1
2020-01-25 22:00:00,22,5.4,CS,SO2,l1
2020-01-25 23:00:00,23,5.2,CS,SO2,l1
2020-01-26 00:00:00,0,5.2,CS,SO2,l1
2020-01-26 01:00:00,1,5.4,CS,SO2,l1
2020-01-26 02:00:00,2,5.6,CS,SO2,l1
2020-01-26 03:00:00,3,5.6,CS,SO2,l1
2020-01-26 04:00:00,4,5.4,CS,SO2,l1
2020-01-26 05:00:00,5,5.4,CS,SO2,l1
2020-01-26 06:00:00,6,5.6,CS,SO2,l1
2020-01-26 07:00:00,7,5.8,CS,SO2,l1
2020-01-26 08:00:00,8,5.8,CS,SO2,l1
2020-01-26 09:00:00,9,6.0,CS,SO2,l1
2020-01-26 10:00:00,10,6.8,CS,SO2,l1
2020-01-26 11:00:00,11,6.6,CS,SO2,l1
2020-01-26 12:00:00,12,6.6,CS,SO2,l1
2020-01-26 13:00:00,13,6.2,CS,SO2,l1
2020-01-26 14:00:00,14,5.6,CS,SO2,l1
2020-01-26 15:00:00,15,5.4,CS,SO2,l1
2020-01-26 16:00:00,16,5.4,CS,SO2,l1
2020-01-26 17:00:00,17,5.2,CS,SO2,l1
2020-01-26 18:00:00,18,5.2,CS,SO2,l1
2020-01-26 19:00:00,19,5.4,CS,SO2,l1
2020-01-26 20:00:00,20,5.6,CS,SO2,l1
2020-01-26 21:00:00,21,5.8,CS,SO2,l1
2020-01-26 22:00:00,22,6.0,CS,SO2,l1
2020-01-26 23:00:00,23,5.8,CS,SO2,l1
2020-01-27 00:00:00,0,5.8,CS,SO2,l1
2020-01-27 01:00:00,1,5.8,CS,SO2,l1
2020-01-27 02:00:00,2,5.8,CS,SO2,l1
2020-01-27 03:00:00,3,6.2,CS,SO2,l1
2020-01-27 04:00:00,4,5.8,CS,SO2,l1
2020-01-27 05:00:00,5,5.8,CS,SO2,l1
2020-01-27 06:00:00,6,6.0,CS,SO2,l1
2020-01-27 07:00:00,7,5.8,CS,SO2,l1
2020-01-27 08:00:00,8,5.8,CS,SO2,l1
2020-01-27 09:00:00,9,6.2,CS,SO2,l1
2020-01-27 10:00:00,10,6.4,CS,SO2,l1
2020-01-27 11:00:00,11,6.8,CS,SO2,l1
2020-01-27 12:00:00,12,7.0,CS,SO2,l1
2020-01-27 13:00:00,13,6.8,CS,SO2,l1
2020-01-27 14:00:00,14,6.2,CS,SO2,l1
2020-01-27 15:00:00,15,9.2,CS,SO2,l1
2020-01-27 16:00:00,16,5.8,CS,SO2,l1
2020-01-27 17:00:00,17,5.4,CS,SO2,l1
2020-01-27 18:00:00,18,5.6,CS,SO2,l1
2020-01-27 19:00:00,19,5.6,CS,SO2,l1
2020-01-27 20:00:00,20,5.4,CS,SO2,l1
2020-01-27 21:00:00,21,5.8,CS,SO2,l1
2020-01-27 22:00:00,22,5.8,CS,SO2,l1
2020-01-27 23:00:00,23,5.8,CS,SO2,l1
2020-01-28 00:00:00,0,5.8,CS,SO2,l1
2020-01-28 01:00:00,1,5.6,CS,SO2,l1
2020-01-28 02:00:00,2,5.6,CS,SO2,l1
2020-01-28 03:00:00,3,6.2,CS,SO2,l1
2020-01-28 04:00:00,4,6.0,CS,SO2,l1
2020-01-28 05:00:00,5,6.2,CS,SO2,l1
2020-01-28 06:00:00,6,5.6,CS,SO2,l1
2020-01-28 07:00:00,7,5.8,CS,SO2,l1
2020-01-28 08:00:00,8,5.6,CS,SO2,l1
2020-01-28 09:00:00,9,5.8,CS,SO2,l1
2020-01-28 10:00:00,10,5.8,CS,SO2,l1
2020-01-28 11:00:00,11,6.4,CS,SO2,l1
2020-01-28 12:00:00,12,6.4,CS,SO2,l1
2020-01-28 13:00:00,13,6.4,CS,SO2,l1
2020-01-28 14:00:00,14,6.4,CS,SO2,l1
2020-01-28 15:00:00,15,6.2,CS,SO2,l1
2020-01-28 16:00:00,16,5.8,CS,SO2,l1
2020-01-28 17:00:00,17,5.8,CS,SO2,l1
2020-01-28 18:00:00,18,5.4,CS,SO2,l1
2020-01-28 19:00:00,19,5.6,CS,SO2,l1
2020-01-28 20:00:00,20,5.8,CS,SO2,l1
2020-01-28 21:00:00,21,5.8,CS,SO2,l1
2020-01-28 22:00:00,22,6.0,CS,SO2,l1
2020-01-28 23:00:00,23,6.0,CS,SO2,l1
2020-01-29 00:00:00,0,5.8,CS,SO2,l1
2020-01-29 01:00:00,1,6.0,CS,SO2,l1
2020-01-29 02:00:00,2,6.4,CS,SO2,l1
2020-01-29 03:00:00,3,5.8,CS,SO2,l1
2020-01-29 04:00:00,4,5.6,CS,SO2,l1
2020-01-29 05:00:00,5,5.8,CS,SO2,l1
2020-01-29 06:00:00,6,5.8,CS,SO2,l1
2020-01-29 07:00:00,7,5.4,CS,SO2,l1
2020-01-29 08:00:00,8,5.6,CS,SO2,l1
2020-01-29 09:00:00,9,6.6,CS,SO2,l1
2020-01-29 10:00:00,10,7.0,CS,SO2,l1
2020-01-29 11:00:00,11,8.4,CS,SO2,l1
2020-01-29 12:00:00,12,9.8,CS,SO2,l1
2020-01-29 13:00:00,13,9.2,CS,SO2,l1
2020-01-29 14:00:00,14,7.8,CS,SO2,l1
2020-01-29 15:00:00,15,7.0,CS,SO2,l1
2020-01-29 16:00:00,16,6.6,CS,SO2,l1
2020-01-29 17:00:00,17,6.8,CS,SO2,l1
2020-01-29 18:00:00,18,6.2,CS,SO2,l1
2020-01-29 19:00:00,19,5.8,CS,SO2,l1
2020-01-29 20:00:00,20,6.4,CS,SO2,l1
2020-01-29 21:00:00,21,6.6,CS,SO2,l1
2020-01-29 22:00:00,22,6.8,CS,SO2,l1
2020-01-29 23:00:00,23,6.4,CS,SO2,l1
2020-01-30 00:00:00,0,6.8,CS,SO2,l1
