Time,Time,value,area,kind,period
2020-01-01 00:00:00,0,8.2,CS,SO2,pre
2020-01-01 01:00:00,1,8.0,CS,SO2,pre
2020-01-01 02:00:00,2,8.2,CS,SO2,pre
2020-01-01 03:00:00,3,8.4,CS,SO2,pre
2020-01-01 04:00:00,4,8.0,CS,SO2,pre
2020-01-01 05:00:00,5,8.2,CS,SO2,pre
2020-01-01 06:00:00,6,8.2,CS,SO2,pre
2020-01-01 07:00:00,7,8.4,CS,SO2,pre
2020-01-01 08:00:00,8,8.8,CS,SO2,pre
2020-01-01 09:00:00,9,9.8,CS,SO2,pre
2020-01-01 10:00:00,10,9.2,CS,SO2,pre
2020-01-01 11:00:00,11,9.0,CS,SO2,pre
2020-01-01 12:00:00,12,15.2,CS,SO2,pre
2020-01-01 13:00:00,13,9.4,CS,SO2,pre
2020-01-01 14:00:00,14,8.8,CS,SO2,pre
2020-01-01 15:00:00,15,8.4,CS,SO2,pre
2020-01-01 16:00:00,16,8.6,CS,SO2,pre
2020-01-01 17:00:00,17,8.6,CS,SO2,pre
2020-01-01 18:00:00,18,8.4,CS,SO2,pre
2020-01-01 19:00:00,19,8.4,CS,SO2,pre
2020-01-01 20:00:00,20,7.8,CS,SO2,pre
2020-01-01 21:00:00,21,8.2,CS,SO2,pre
2020-01-01 22:00:00,22,8.6,CS,SO2,pre
2020-01-01 23:00:00,23,8.2,CS,SO2,pre
2020-01-02 00:00:00,0,8.2,CS,SO2,pre
2020-01-02 01:00:00,1,8.4,CS,SO2,pre
2020-01-02 02:00:00,2,8.2,CS,SO2,pre
2020-01-02 03:00:00,3,7.8,CS,SO2,pre
2020-01-02 04:00:00,4,7.8,CS,SO2,pre
2020-01-02 05:00:00,5,7.8,CS,SO2,pre
2020-01-02 06:00:00,6,8.0,CS,SO2,pre
2020-01-02 07:00:00,7,8.4,CS,SO2,pre
2020-01-02 08:00:00,8,8.6,CS,SO2,pre
2020-01-02 09:00:00,9,8.8,CS,SO2,pre
2020-01-02 10:00:00,10,9.6,CS,SO2,pre
2020-01-02 11:00:00,11,9.6,CS,SO2,pre
2020-01-02 12:00:00,12,9.6,CS,SO2,pre
2020-01-02 13:00:00,13,9.0,CS,SO2,pre
2020-01-02 14:00:00,14,8.4,CS,SO2,pre
2020-01-02 15:00:00,15,8.0,CS,SO2,pre
2020-01-02 16:00:00,16,7.8,CS,SO2,pre
2020-01-02 17:00:00,17,7.6,CS,SO2,pre
2020-01-02 18:00:00,18,7.4,CS,SO2,pre
2020-01-02 19:00:00,19,6.8,CS,SO2,pre
2020-01-02 20:00:00,20,6.8,CS,SO2,pre
2020-01-02 21:00:00,21,7.4,CS,SO2,pre
2020-01-02 22:00:00,22,7.6,CS,SO2,pre
2020-01-02 23:00:00,23,7.8,CS,SO2,pre
2020-01-03 00:00:00,0,8.0,CS,SO2,pre
2020-01-03 01:00:00,1,8.4,CS,SO2,pre
2020-01-03 02:00:00,2,8.2,CS,SO2,pre
2020-01-03 03:00:00,3,8.2,CS,SO2,pre
2020-01-03 04:00:00,4,8.0,CS,SO2,pre
2020-01-03 05:00:00,5,8.0,CS,SO2,pre
2020-01-03 06:00:00,6,7.6,CS,SO2,pre
2020-01-03 07:00:00,7,7.2,CS,SO2,pre
2020-01-03 08:00:00,8,7.4,CS,SO2,pre
2020-01-03 09:00:00,9,7.6,CS,SO2,pre
2020-01-03 10:00:00,10,8.6,CS,SO2,pre
2020-01-03 11:00:00,11,9.4,CS,SO2,pre
2020-01-03 12:00:00,12,9.4,CS,SO2,pre
2020-01-03 13:00:00,13,9.0,CS,SO2,pre
2020-01-03 14:00:00,14,8.0,CS,SO2,pre
2020-01-03 15:00:00,15,7.2,CS,SO2,pre
2020-01-03 16:00:00,16,6.8,CS,SO2,pre
2020-01-03 17:00:00,17,7.0,CS,SO2,pre
2020-01-03 18:00:00,18,7.0,CS,SO2,pre
2020-01-03 19:00:00,19,6.6,CS,SO2,pre
2020-01-03 20:00:00,20,7.0,CS,SO2,pre
2020-01-03 21:00:00,21,7.2,CS,SO2,pre
