area,period,PM2.5,PM10,SO2,CO,O3,NO2
CS,level1,-0.177293784,-0.212807132,-0.173695962,-0.232777535,0.484277164,-0.531567351
MG,level1,-0.289041276,-0.191472233,-0.202938399,-0.343349901,0.528130079,-0.487112355
NCP,level1,-0.345423238,-0.319481517,-0.281789054,-0.316569738,0.777082423,-0.532291775
NEC,level1,-0.330428313,-0.313559101,-0.22991743,-0.276359176,0.478003741,-0.491065157
NW,level1,-0.286963098,-0.017670666,-0.057066511,-0.204991006,0.551864209,-0.440428444
SC,level1,-0.170199481,-0.274535536,-0.231726324,-0.206188223,0.11936626,-0.491464398
TP,level1,-0.238280934,-0.0872,-0.094258464,-0.156273661,0.127328703,-0.412237934
YR,level1,-0.343760153,-0.337142872,-0.074701253,-0.21509904,0.620302707,-0.531158159
CS,level2,-0.260938045,-0.128079759,-0.008080074,-0.257294247,0.631325202,-0.197097233
MG,level2,-0.64182772,-0.402945696,-0.40905832,-0.597957197,0.689600914,-0.571309827
NCP,level2,-0.583147906,-0.371762416,-0.422025472,-0.51068837,0.87402913,-0.385674867
NEC,level2,-0.589803355,-0.473353436,-0.468803041,-0.474052886,0.683234623,-0.546148818
NW,level2,-0.432053629,0.214761752,-0.318878664,-0.522507742,0.623694721,-0.500162277
SC,level2,-0.159967145,-0.149286939,-0.11073481,-0.149606424,0.073237351,-0.189753287
TP,level2,-0.322387444,-0.03267229,-0.19473727,-0.29054062,0.24660931,-0.369238505
YR,level2,-0.479486147,-0.286748364,0.030804392,-0.248269873,0.689495319,-0.254677881
CS,level3,-0.245839098,-0.060535973,0.133583942,-0.29143255,0.998653518,-0.060970608
MG,level3,-0.633102784,-0.295716854,-0.480500884,-0.635858706,0.916340393,-0.502504981
NCP,level3,-0.597877521,-0.346314082,-0.397319279,-0.525806113,1.155434156,-0.305100489
NEC,level3,-0.193285948,-0.066580745,-0.435574226,-0.378612842,0.861675013,-0.349247078
NW,level3,-0.362567758,0.488944335,-0.411432472,-0.615079807,0.792412747,-0.461398144
SC,level3,-0.053820709,-0.025396708,0.052254855,-0.130144309,0.232124497,-0.031357513
TP,level3,-0.207041686,0.217245243,-0.240585702,-0.337878257,0.255214004,-0.262233144
YR,level3,-0.433512099,-0.159811958,0.208585783,-0.315533659,0.990418624,-0.033954591
