date,hour,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,period,area
1/1/2020,0,84.69863014,61.12328767,63.82191781,85.09589041,84.91780822,9.219178082,9.082191781,32.63013699,29.20547945,25.45205479,62.57534247,33.20547945,49.08219178,0.875068493,0.921780822,(Prelock),CS
1/1/2020,1.01369863,85.09589041,60.94520548,63.53424658,85.52054795,84.93150685,9.780821918,9.178082192,31.01369863,29.23287671,,61.65753425,,25.61643836,0.866575342,0.921506849,(Prelock),CS
1/1/2020,2.02739726,85.76712329,61.42465753,63.52054795,84.75342466,85.32876712,8.97260274,9.082191781,29.68493151,29.42465753,,61.04109589,,,0.85109589,0.918493151,(Prelock),CS
1/1/2020,3.04109589,80.42465753,57.56164384,63.15068493,79.04109589,84.87671233,9.356164384,9.178082192,28.8630137,29.45205479,24.54794521,60.5890411,25.09589041,26.87671233,0.826575342,0.917260274,(Prelock),CS
1/1/2020,4.054794521,77.09589041,55.06849315,62.80821918,74.52054795,84.56164384,9.712328767,9.219178082,28.2739726,29.61643836,24.19178082,60.21917808,24.90410959,27.2739726,0.811780822,0.913835616,(Prelock),CS
1/1/2020,5.068493151,75.24657534,53.73972603,62.42465753,72.56164384,84.35616438,10.97260274,9.342465753,27.93150685,29.71232877,22.76712329,59.49315068,24.47945205,27.38356164,0.820273973,0.910410959,(Prelock),CS
1/1/2020,6.082191781,74.38356164,53.21917808,62.09589041,71.80821918,84.26027397,10.49315068,9.369863014,27.38356164,29.94520548,21.90410959,58.8630137,23.98630137,27.47945205,0.821643836,0.906986301,(Prelock),CS
1/1/2020,7.095890411,73.17808219,52.21917808,61.57534247,70.82191781,83.93150685,10.45205479,9.465753425,28.17808219,30.06849315,20.56164384,57.91780822,23.45205479,27.31506849,0.844931507,0.908219178,(Prelock),CS
1/1/2020,8.109589041,73.78082192,52.56164384,61.19178082,71.17808219,83.54794521,10.34246575,9.520547945,30.5890411,30.20547945,18.28767123,57.28767123,22.68493151,27.34246575,0.900547945,0.905205479,(Prelock),CS
1/1/2020,9.123287671,74.19178082,,60.73972603,73.02739726,83.17808219,11.10958904,9.589041096,31.98630137,30.31506849,18.10958904,56.98630137,21.80821918,27.46575342,0.95890411,0.897808219,(Prelock),CS
1/1/2020,10.1369863,77.7260274,55.32876712,60.26027397,77.38356164,82.80821918,11.68493151,9.657534247,31.82191781,30.38356164,20.8630137,56.83561644,21.2739726,27.60273973,0.981780822,0.896712329,(Prelock),CS
1/1/2020,11.15068493,79.30136986,56.73972603,59.84931507,78.80821918,82.45205479,12.64383562,9.753424658,30.64383562,30.39726027,25.83561644,56.64383562,21.54794521,27.83561644,0.981232877,0.897534247,(Prelock),CS
1/1/2020,12.16438356,78.97260274,56.47945205,59.38356164,78.42465753,81.93150685,12.43835616,9.821917808,29.76712329,30.50684932,32.01369863,56.94520548,22.63013699,28.49315068,0.950136986,0.899315068,(Prelock),CS
1/1/2020,13.17808219,77.06849315,54.4109589,59.01369863,76.71232877,81.60273973,11.75342466,9.95890411,28.52054795,30.61643836,39.1369863,58.43835616,24.53424658,29.54794521,0.921643836,0.895616438,(Prelock),CS
1/1/2020,14.19178082,75.42465753,52.68493151,58.39726027,,80.90410959,11.05479452,10,27.46575342,30.5890411,45.75342466,61.23287671,27.65753425,31.5890411,0.877808219,0.891232877,(Prelock),CS
