day,PM2.5,PM10,SO2,CO,NO2,O3,period
2020/1/1,153.0085423,202.7397376,72.07728748,3.152534566,91.42836472,75.6434172,prelock
2020/1/2,200.4182802,248.6451943,80.26551484,3.748367963,105.0049757,98.1350851,prelock
2020/1/3,202.6518595,291.0337035,85.30053918,4.513797155,140.8089966,156.5496609,prelock
2020/1/4,232.0172466,276.5529015,57.26624313,4.170952976,118.9601756,233.4125932,prelock
2020/1/5,220.4827794,279.3450341,70.36941118,3.000036242,97.5635936,128.2086505,prelock
2020/1/6,126.0585103,158.7078124,89.39373016,2.667417082,80.26530612,139.2452313,prelock
2020/1/7,147.8461265,158.7185528,52.2717897,2.653265306,118.7693706,138.3879115,prelock
2020/1/8,124.7780942,154.0416131,33.35632748,3.977124981,111.1330749,134.62165,prelock
2020/1/9,141.6271679,182.9132394,41.01120117,1.943019933,86.92280916,131.2244898,prelock
2020/1/10,162.2812741,197.3134871,64.38816202,2.904891978,103.4424844,138.8,prelock
2020/1/11,195.2774667,244.8185032,66.39099313,3.159156938,104.577491,94.89758831,prelock
2020/1/12,201.5515959,239.1736897,46.82135569,2.195361332,97.54081633,106.8566293,prelock
2020/1/13,145.377551,169.9897959,44.15229601,2.117991444,87.18367347,102.2865956,prelock
2020/1/14,186.8565035,189.4313751,50.24435279,3.239181264,89.11164495,160.4608319,prelock
2020/1/15,181.5696927,234.4348456,65.39363779,2.946392502,91.0944589,121.1020408,prelock
2020/1/16,178.55,213.3,43.30911992,3.061065558,101.3552438,166.2857143,prelock
2020/1/17,218.3655462,238.5003642,68.27770979,2.588883597,105.091495,87.80741914,prelock
2020/1/18,221.563578,267.2710821,74.33834984,3.369938144,113.3926481,94.04460158,prelock
2020/1/19,155.2244898,213.7577659,51.83765422,3.306658644,98.15805335,86.93097498,prelock
2020/1/20,153.8571429,163.8571429,38.73062082,2.246434216,89.8556641,120.1876918,prelock
2020/1/21,107.7142857,152.7040816,55.20679664,2.72487954,102.4706223,110.0068027,prelock
2020/1/22,147.4985201,192.8675207,55.87573474,2.986177468,101.2168737,148.1085384,prelock
2020/1/23,171.1979095,212.4,35.89210781,1.808639673,86.41475826,111.3833723,prelock
2020/1/24,231.4133523,268.9421399,71.72214642,1.976412362,55.48427158,93.87755102,prelock
2020/1/25,531.3222069,701.9783558,200.5864577,2.395266725,71.19679768,99.5,level1
2020/1/26,294.0740741,326.3110363,57.42597994,2.002681011,68.14669179,88.89795918,level1
2020/1/27,205,239.85,65.39204368,2.280870508,65.37260838,91.2258747,level1
2020/1/28,265.1365762,309.4507937,52.90808253,2.357460986,63.85159917,110.4345802,level1
2020/1/29,141.4775988,170.3784056,61.87253284,2.094303935,68.45584708,103.6847225,level1
2020/1/30,98.89898323,109.4737201,45.81438126,2.314026586,76.75289997,113.4672513,level1
2020/1/31,206.7125081,241.6595362,64.78600973,1.96993971,82.60011632,116.981849,level1
2020/2/1,190.5698801,228.4981824,40.07769734,2.15446406,78.42160124,117.8146831,level1
2020/2/2,72.95918367,94.59183673,30.05151082,1.826734694,57.26530612,100.7665043,level1
2020/2/3,72.62295918,78.87755102,58.82533698,1.721122449,64.46938776,110.4907505,level1
2020/2/4,73.01020408,86.36666667,51.40704686,2.018265306,62.23469388,111.6790268,level1
2020/2/5,86.1377551,95.79336735,35.37665217,1.721924619,50.46926811,103.6744542,level1
2020/2/6,127.7579656,154.2465683,48.49565204,2.078518302,60.5233428,93.76530612,level1
2020/2/7,120.7484109,156,49.97468384,2.611710087,57.59366169,97.57543774,level1
2020/2/8,166.0835031,193.6294248,74.39396916,2.192800569,62.15822404,102.6995014,level1
2020/2/9,210.5629519,285.0034875,54.86127765,3.41933861,57.83007551,111.944417,level1
2020/2/10,217.5011313,292.7596567,47.80440603,3.817959184,81.64759363,113.9374366,level1
2020/2/11,106.5722456,140.8961587,45.33812944,1.981020408,70.71880054,140.045743,level1
2020/2/12,84.45249173,107.5953101,55.82551224,2.47219561,76.94600049,137.7874698,level1
2020/2/13,108.9795918,412.0575731,58.22351768,2.032653061,65.2755102,103.9539387,level1
2020/2/14,70.89795918,215.15,16.27912008,0.969795918,29.30612245,94.54399464,level1
2020/2/15,48.20739796,163.9208333,22.1640046,1.034081633,28.90816327,88.23376637,level1
2020/2/16,54.00867347,227,35.39733145,1.437755102,39.3877551,93.75881393,level1
2020/2/17,63.03052721,217.0903912,41.32343066,2.06111321,73.63512521,106.2229146,level1
2020/2/18,86.99120043,249.7058673,70.32224197,2.461379506,68.07301315,100.9847806,level1
2020/2/19,169.7130131,267.4348952,58.21875843,2.501434121,85.83581275,142.6122449,level1
2020/2/20,167.5569774,316.3058588,51.25722005,2.310333412,78.94941183,129.6382227,level1
2020/2/21,119.7142857,164.7142857,29.50250094,2.456938776,59.20408163,196.3569493,level1
2020/2/22,92.79591837,142.6469388,31.83495247,1.962040816,90.56122449,139.7541154,level1
2020/2/23,82.94897959,149.7959184,51.68475899,2.523877551,92.8498296,140.3875971,level1
2020/2/24,83.63300488,152.2273497,56.69441559,2.125151786,84.26872614,137.7142857,level1
2020/2/25,123.755102,189.6075213,42.37384402,1.956428571,88.71428571,135.8199707,level1
2020/2/26,82.80612245,142.6530612,41.37390691,1.763673469,76.07142857,121,level1
2020/2/27,73.75926675,115.9089133,49.42665866,1.637842295,71.67925501,104,level2
2020/2/28,110.7386394,143.3989279,34.39487385,1.83744898,73.27401594,147.3169694,level2
2020/2/29,149.0821408,229.4777989,49.35876264,1.826734694,62.65306122,145.8135854,level2
2020/3/1,76.92346939,126.4936224,21.1297809,1.018010204,51,110.7283166,level2
2020/3/2,73.19387755,130.9385849,40.36062364,1.341530612,54.98441296,99.67346939,level2
2020/3/3,86.83673469,107.4079932,35.32937169,1.220408163,67.91836735,109.504721,level2
2020/3/4,75.31632653,104.0692177,44.41624258,1.589489796,73.56122449,103.6040694,level2
2020/3/5,82.5,125.1164309,51.23683139,2.039183673,62.95626371,121.6428571,level2
2020/3/6,73.74489796,116.1757509,48.38681775,1.849897959,57,109.926953,level2
2020/3/7,97.89795918,146.1326531,39.65234328,1.650918367,88.76530612,117.2550373,level2
2020/3/8,100.5462626,144.0268639,27.95497474,1.059591837,54.96345248,103.9415484,level2
2020/3/9,100.8061224,169.2,21.77426428,1.166989796,48.64795918,92.061095,level2
2020/3/10,67.25,124.1,32.74356932,1.253061224,72.64285714,102.2130891,level2
2020/3/11,58.03768136,131.8673469,55.1591561,1.685102041,81.65498946,119.5763097,level2
2020/3/12,65.64795918,274.877551,38.53671063,1.093469388,75.24489796,99.91340129,level2
2020/3/13,56.33163265,141.8571429,26.2039546,1.049183673,51.99489796,104.7812102,level2
2020/3/14,58.64081633,146.9875,34.22353278,1.74,63.1377551,120.4752955,level2
2020/3/15,55.87755102,158.112585,23.96158967,1.323163265,77.41836735,150.4052286,level2
2020/3/16,52.68367347,136.4693878,38.11068598,1.234897959,66.91836735,163.2916755,level2
2020/3/17,69.3877551,138.4693878,44.02606851,2.013673469,93.7755102,128.2837424,level2
2020/3/18,88.75510204,213.1530612,63.00914115,2.412653061,89.60204082,155.3264254,level2
2020/3/19,87.83673469,381.1428571,37.07989295,1.686281854,88.91836439,135.9105345,level2
2020/3/20,111.0612245,194.6938776,51.39768606,2.597959184,86.89795918,142.304449,level2
2020/3/21,110.2244898,164.3622449,27.55081061,1.495102041,85.24489796,131.7009629,level2
2020/3/22,245.4693878,290.0612245,46.25258685,1.789795918,85.40816327,131.9387755,level2
2020/3/23,80.85714286,146.2142857,36.46573406,2.784591837,78.2244898,190.0204082,level2
2020/3/24,165.0344858,362.377811,46.95017193,2.17480193,98.33673469,162.4653575,level2
2020/3/25,139.1938776,457.523598,39.02610777,2.964183673,86.63265306,141.9865555,level2
2020/3/26,138.9795918,357.0204082,21.306817,0.947653061,69.18367347,109.1691159,level2
2020/3/27,97.58494898,276.793275,15.33083894,0.872565276,51.34693878,96,level2
2020/3/28,119.0415627,357.1927478,35.39957218,1.005992266,61.35794572,94.48979592,level2
2020/3/29,89.02780355,248.0139692,49.36495575,1.419189552,73.58067175,109.6323392,level2
2020/3/30,103.027133,186.2287091,50.39545872,1.545435354,82.15059767,143.8900118,level2
2020/3/31,111.7959184,223.3153989,32.34054563,1.149591837,82.5,113.5,level2
2020/4/1,101.4336735,219.0496599,20.34239946,0.982204082,77.18367347,122.6780628,level2
2020/4/2,102.6530612,155.5714286,42.30358002,1.900204082,58.91836735,106.7005305,level3
2020/4/3,120.9030612,711.9591837,25.25111416,2.214489796,77.37244898,114.5601423,level3
2020/4/4,132.2346939,237.5153061,31.28018058,1.63622449,75.68877551,158.9130152,level3
2020/4/5,251.2857143,410.7959184,46.15037792,1.575381229,84.33374485,159.4489796,level3
2020/4/6,324.0561224,309.8163265,55.09628297,1.799387755,85.69387755,147.244898,level3
2020/4/7,91.93877551,145.517631,22.73654522,1.14488225,85.82142857,130.788461,level3
2020/4/8,148.6326531,202.0986973,26.06118506,2.112142857,82.32142857,175.9612537,level3
2020/4/9,97.18367347,328.9533413,24.49305799,1.627755102,78.89795918,227,level3
2020/4/10,162.6841837,634.2647959,64.69387755,2.177040816,109.9795918,143.4081633,level3
2020/4/11,285.3265306,414.6777136,74.39681635,2.360408163,109.9591837,125.3669094,level3
2020/4/12,130.7142857,388.9935669,28.77992193,2.438673469,86.16836735,137.1785714,level3
2020/4/13,278.3010204,392.827466,79.01072129,1.999795918,123.755102,206.3061224,level3
2020/4/14,164.5714286,287.0844902,69.72669743,2.173251384,101.2091837,200.5714286,level3
2020/4/15,288.4795918,296.6135018,77.65306122,2.18877551,98.32653061,337.1312792,level3
2020/4/16,230.0380057,403.1813148,48.83620685,1.616122449,98.40816327,168.8143929,level3
2020/4/17,340.4339416,295.5867347,20.55448487,1.890816327,88.76020408,152.95,level3
2020/4/18,240.8877551,214.1122449,15.95,1.443418367,84.26722548,92.95,level3
