period,area,hour,Temp,Dew,SeaP,WD,WS,rain6
level1,NCP,0,-9.001406649616365,-14.756393861892583,1031.02084398977,190.75191815856775,2.151918158567775,1.5869565217391304
level1,NCP,3,-2.402524544179524,-13.472510518934081,1030.7058906030854,203.26788218793828,2.9218793828892005,1.4053295932678822
level1,NCP,6,1.5175889328063237,-12.892687747035573,1027.3575098814229,213.91897233201587,3.5940711462450596,1.0316205533596836
level1,NCP,9,0.20869565217391284,-13.718115942028987,1029.9655797101452,221.37500000000009,3.480978260869565,1.2971014492753623
level1,NCP,12,-3.418695652173913,-13.148405797101447,1030.2942028985508,191.7536231884058,2.509855072463768,1.165217391304348
level1,NCP,15,,,,,,
level1,NCP,18,-7.12391304347826,-13.959103260869565,1028.769972826087,186.9578804347826,2.311820652173913,1.2758152173913044
level1,NCP,21,-8.067471819645732,-14.40515297906602,1028.6916264090178,219.12399355877622,2.2819645732689207,1.6183574879227054
level1,NEC,0,-17.62741596638655,-21.809033613445376,1027.928151260504,206.22794117647052,2.1459033613445384,
level1,NEC,3,-11.541190476190476,-18.735476190476188,1027.2166666666665,221.13809523809522,2.940238095238095,6.25
level1,NEC,6,-8.333279220779218,-17.456980519480517,1026.3318181818186,221.75487012987014,3.432305194805195,
level1,NEC,9,-11.035714285714285,-18.41443452380952,1027.8571428571427,210.95684523809527,2.575297619047619,
level1,NEC,12,-13.490000000000004,-18.740714285714283,1027.1839285714284,198.57142857142856,1.0459523809523812,5.928571428571429
level1,NEC,15,,,,,,
level1,NEC,18,-16.78738839285714,-20.899776785714288,1026.4870535714288,207.63392857142856,0.9968750000000001,
level1,NEC,21,-17.437566137566133,-21.39814814814815,1025.8010582010584,214.53439153439152,2.077248677248677,
level1,NW,0,-10.650476190476189,-16.590043290043297,1031.9574891774892,173.41731601731604,1.8309956709956714,
level1,NW,3,-6.416020408163262,-14.893775510204081,1033.060204081633,178.76326530612246,1.879285714285714,
level1,NW,6,-1.1590909090909092,-14.193506493506494,1031.1546753246753,172.53766233766237,2.4024675324675324,
level1,NW,9,0.4455952380952375,-14.360357142857142,1030.601904761905,173.52142857142857,2.5276190476190483,
level1,NW,12,-3.432571428571429,-14.659333333333338,1031.6341904761907,171.71809523809526,2.024857142857143,
level1,NW,15,,,,,,
level1,NW,18,-8.82921658986175,-16.04,1030.8170506912443,178.48018433179726,1.9191705069124432,
level1,NW,21,-9.662959183673468,-16.35704081632653,1030.26,179.41326530612244,1.8475510204081633,
level1,PR,0,13.976786735277303,11.670268724985704,1020.6388793596341,144.50657518582045,2.498684962835906,
level1,PR,3,16.999528301886798,11.703638814016172,1021.4979784366576,139.12938005390836,2.9207547169811323,
level1,PR,6,19.943653516295026,11.785677530017152,1018.5111492281303,148.6072041166381,3.283533447684391,
level1,PR,9,18.88346810422283,10.899550763701708,1017.5747529200361,151.38095238095238,3.3372866127583114,
level1,PR,12,16.922075471698115,11.96691823899371,1019.0376729559749,143.1138364779874,2.7644654088050316,
level1,PR,15,,,,,,
level1,PR,18,14.581071211199024,11.797200243457091,1019.6632988435789,142.23371880706026,2.6335362142422403,
level1,PR,21,14.131236897274638,11.77400419287212,1019.6031446540879,153.26694619147452,2.442907058001398,
level1,SC,0,6.3141065830721015,4.077168234064786,1024.3555381400213,162.5815047021944,1.7226750261233021,12.082027168234061
level1,SC,3,9.463868065967016,3.9705397301349334,1025.0907046476764,169.80134932533733,1.9744377811094453,11.173163418290855
level1,SC,6,13.126678765880222,4.076043557168783,1021.2579854809438,171.63611615245014,2.322232304900181,7.4464609800362975
level1,SC,9,12.065613026819928,3.126436781609195,1021.5906130268199,167.14272030651344,2.2986590038314176,8.56034482758621
level1,SC,12,10.093550446998723,4.342848020434228,1022.5517879948914,161.0970625798212,1.994763729246488,7.699872286079183
level1,SC,15,,,,,,
level1,SC,18,7.048943270300334,3.9347608453837597,1023.2708565072302,168.65127919911015,1.8095661846496112,9.380978865406007
level1,SC,21,6.405448275862068,3.8164827586206895,1023.1063448275861,190.19103448275862,1.6551724137931032,11.392413793103447
level1,TP,0,-12.572848484848484,-21.629090909090916,1026.6490909090908,174.9490909090909,1.5311515151515152,2.3066666666666666
level1,TP,3,-7.515034482758618,-20.747586206896557,1027.2793103448278,190.08137931034483,1.864689655172414,2.2344827586206892
level1,TP,6,-1.2109090909090912,-21.172727272727272,1021.7616363636361,220.52727272727273,3.068545454545455,2.1963636363636363
level1,TP,9,0.26454545454545453,-22.508363636363637,1019.4916363636365,223.20545454545456,4.049272727272727,2.2163636363636368
level1,TP,12,-3.103259259259259,-21.583555555555556,1024.0398518518516,205.60888888888888,2.687259259259259,2.1555555555555554
level1,TP,15,,,,,,
level1,TP,18,-9.01496774193548,-21.131483870967745,1021.7001290322582,177.76645161290324,1.6286451612903228,2.2258064516129035
level1,TP,21,-10.587230769230768,-21.209692307692308,1021.3970769230772,193.98461538461547,1.5513846153846154,2.278461538461538
level1,YR,0,3.9157616892911014,1.166666666666667,1026.813423831071,165.03921568627453,1.9051282051282052,4.193473193473194
level1,YR,3,7.688916459884198,1.2360628618693135,1027.833581472291,168.17452440033085,2.3599669148056246,4.162944582299421
level1,YR,6,10.698368298368298,1.5273892773892774,1024.128787878788,169.1561771561772,2.5474358974358977,3.247086247086246
level1,YR,9,9.657748049052396,-0.06176142697881776,1025.3933110367893,172.80490523968786,2.505351170568562,4.904124860646599
level1,YR,12,7.547948717948716,1.4864957264957264,1025.2873504273507,149.1068376068376,2.022991452991453,4.0427350427350435
level1,YR,15,,,,,,
level1,YR,18,4.878285256410256,1.3237179487179487,1025.9184294871798,162.90064102564105,1.8987980769230766,3.8565705128205123
level1,YR,21,4.353747534516764,1.3135108481262328,1025.480473372781,178.34418145956607,1.8198224852071005,4.115384615384615
level2,NCP,0,-0.39591567852437465,-10.47707509881423,1021.9462450592883,192.4756258234519,2.670750988142293,2.3689064558629775
level2,NCP,3,7.066666666666666,-8.307608695652174,1021.4213768115942,191.56521739130437,3.7963768115942034,2.3152173913043472
level2,NCP,6,8.21495652173913,-10.845217391304345,1019.1584347826087,219.5669565217391,4.498782608695652,2.2104347826086954
level2,NCP,9,9.736684782608693,-11.965217391304346,1018.5326086956521,218.38315217391306,4.534239130434782,2.665760869565217
level2,NCP,12,5.0029891304347816,-8.79184782608696,1019.9116847826085,180.50543478260866,3.0790760869565217,3.081521739130435
level2,NCP,15,,,,,,
level2,NCP,18,0.22241847826086913,-11.056929347826088,1020.0184782608694,202.26630434782606,2.732472826086956,2.5978260869565215
level2,NCP,21,-1.1648953301127216,-11.620450885668278,1019.8589371980676,217.13687600644118,2.600322061191627,1.9114331723027373
level2,NEC,0,-5.190043290043289,-11.622186147186143,1017.0446969696969,220.91558441558442,2.841450216450217,3.0408163265306123
level2,NEC,3,2.6952380952380945,-11.025892857142857,1019.2107142857141,238.1130952380952,4.348809523809524,
level2,NEC,6,2.2805714285714287,-10.772285714285715,1016.505,228.9,4.452000000000001,2.992857142857143
level2,NEC,9,3.2479910714285705,-10.958928571428572,1013.34375,239.09598214285714,4.298214285714285,
level2,NEC,12,-1.3587053571428571,-9.714062499999999,1017.559375,213.56473214285714,2.4462053571428575,
level2,NEC,15,,,,,,
level2,NEC,18,-5.914620535714284,-11.328683035714285,1015.1704241071429,211.3381696428572,1.234263392857143,3.071428571428571
level2,NEC,21,-7.43201058201058,-12.58042328042328,1014.903835978836,217.20767195767198,2.236507936507936,4.375
level2,NW,0,-1.9152380952380954,-12.09073593073593,1024.4043290043292,174.95238095238096,2.421125541125541,
level2,NW,3,4.599285714285714,-10.526190476190477,1023.507857142857,169.1690476190476,2.9447619047619042,
level2,NW,6,7.03862857142857,-12.087657142857143,1023.7846857142858,182.94171428571428,3.5198857142857154,
level2,NW,9,10.080892857142857,-12.50517857142857,1021.3080357142858,193.95,3.759285714285714,
level2,NW,12,6.7228571428571415,-11.902678571428572,1022.6687499999999,190.6857142857143,3.1639285714285714,
level2,NW,15,,,,,,
level2,NW,18,0.7671428571428569,-11.562500000000004,1023.260892857143,177.45714285714286,2.468571428571429,
level2,NW,21,-0.19923076923076938,-11.555164835164836,1021.4025274725274,174.13516483516483,2.369230769230769,
level2,PR,0,18.245343883140603,15.924832623250147,1015.5315885575167,148.72245891661598,2.230858186244674,
level2,PR,3,22.54631217838766,16.9811320754717,1015.8466552315608,146.27444253859346,2.797084048027444,
level2,PR,6,24.615694682675816,16.261234991423674,1012.443653516295,162.78644939965696,3.3301886792452824,
level2,PR,9,24.208490566037742,15.977088948787058,1011.0524258760108,159.3840970350404,3.2619946091644203,
level2,PR,12,22.10741239892184,16.81361185983827,1011.777358490566,158.3463611859838,2.588274932614555,
level2,PR,15,,,,,,
level2,PR,18,19.032014607425438,16.22105903834449,1013.674984783932,148.2611077297626,2.258125380401704,
level2,PR,21,18.19194484760524,15.92039187227866,1013.4244557329464,153.31785195936138,2.13410740203193,
level2,SC,0,11.269612068965522,8.56875,1017.0913254310342,164.7209051724138,1.8165948275862067,13.682112068965516
level2,SC,3,13.695517241379317,8.543793103448275,1017.7418965517242,158.84999999999997,2.2741379310344825,19.313793103448276
level2,SC,6,16.625262368815598,8.046251874062966,1014.2020239880059,169.52998500749624,2.665142428785608,13.538230884557718
level2,SC,9,17.047701149425293,7.892959770114942,1012.9185344827587,162.9094827586207,2.6525862068965513,16.95689655172414
level2,SC,12,15.220366379310349,9.23965517241379,1013.4211206896554,155.24245689655177,2.514224137931034,12.401939655172415
level2,SC,15,,,,,,
level2,SC,18,12.131088362068967,8.596282327586206,1015.5468211206896,176.62392241379308,1.9347521551724136,13.12984913793103
level2,SC,21,10.95057471264368,8.2375,1015.6382902298851,177.03879310344828,1.8755747126436784,15.015086206896553
level2,TP,0,-5.867030303030304,-14.80957575757576,1016.9076363636365,180.3721212121212,1.7235151515151514,2.406060606060606
level2,TP,3,1.7815384615384615,-13.672307692307696,1014.3704615384618,196.52,2.7199999999999998,2.6400000000000006
level2,TP,6,5.412960000000001,-16.794560000000004,1010.5814399999997,227.59840000000003,4.157439999999999,2.2992000000000004
level2,TP,9,7.687250000000001,-17.21825,1007.2182499999999,226.89750000000004,4.84975,2.045
level2,TP,12,3.9465,-15.41675,1011.85275,213.485,3.4370000000000003,2.2325
level2,TP,15,,,,,,
level2,TP,18,-2.3818064516129027,-14.756645161290326,1012.2423225806451,184.96129032258065,1.9677419354838706,2.327741935483871
level2,TP,21,-4.1720000000000015,-14.630962962962965,1012.1912592592591,196.69481481481478,1.7274074074074075,2.3762962962962964
level2,YR,0,9.309557109557113,5.7182595182595195,1019.488966588967,151.86324786324786,2.1066045066045067,8.580419580419584
